timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482546054386724,-2,-3,14,37,3,-3,-23,-9
1482546054386724,1,12,13,-5,2,4,24,11
1482546054390784,4,-7,-2,5,4,4,0,0
1482546054390784,0,11,43,-4,-2,-2,-5,-3
1482546054391729,1,-2,-23,-17,-4,-4,-5,-9
1482546054391729,-2,-15,-3,35,0,2,-29,16
1482546054393790,2,4,4,-37,5,-3,-32,-58
1482546054393790,-10,-3,-3,11,3,10,45,19
1482546054398293,3,1,-6,-6,-8,-2,40,48
1482546054398293,4,2,6,4,-1,-6,-27,-17
1482546054405800,-10,1,-4,2,-1,3,24,23
1482546054405800,-8,-5,-9,-2,-6,-6,-28,-16
1482546054423555,46,1,19,-4,2,1,-14,-12
1482546054423555,-13,7,38,-8,-6,-1,10,-17
1482546054426556,-14,-6,-39,-2,-2,-2,4,21
1482546054426556,-7,-15,-65,0,2,-2,1,-6
1482546054438564,-17,10,63,-5,-1,1,5,5
1482546054438564,15,10,31,2,3,0,2,3
1482546054458614,-3,-12,-61,5,-2,-2,2,2
1482546054458614,3,3,-6,6,0,-2,-9,6
1482546054459615,-7,2,-18,-6,1,1,7,-3
1482546054459615,-8,-10,-25,-16,-5,-4,-9,-7
1482546054506196,1,6,79,-4,3,2,1,-1
1482546054506196,-5,-18,-11,-10,-1,-1,-3,-1
1482546054507184,-3,0,26,9,-7,-4,-2,-2
1482546054507184,1,-1,0,-12,5,2,-5,-6
1482546054510246,2,4,5,7,-3,-2,0,18
1482546054510246,-2,-1,-18,-9,-14,-9,-2,-8
1482546054510755,0,1,10,11,19,6,-21,-5
1482546054510755,-1,-4,-3,-15,5,10,-12,28
1482546054517785,-4,2,-24,10,5,2,-38,-15
1482546054517785,0,-8,17,-6,-2,1,17,9
1482546054523767,8,4,-44,0,-21,-22,0,2
1482546054523767,-26,-10,-27,0,-9,-10,-15,-19
1482546054531822,-5,-23,-10,-5,9,1,8,-3
1482546054531822,1,-9,-69,6,8,6,1,7
1482546054555990,-7,5,40,-24,-1,4,1,-4
1482546054555990,15,30,38,9,3,-1,7,-3
1482546054555990,-11,-49,-57,-6,-12,-6,6,-4
1482546054555990,0,19,53,10,8,0,1,-6
1482546054585034,-3,-8,-27,-2,-3,-1,2,-1
1482546054585034,1,0,-22,-19,-4,-1,5,-2
1482546054586012,2,15,13,40,2,0,6,-1
1482546054586012,4,8,15,-17,0,3,-5,2
1482546054592013,-3,-1,4,-20,-13,-7,-4,-3
1482546054592013,-1,-5,5,-4,2,1,7,-6
1482546054593013,3,8,-2,2,0,-4,-2,1
1482546054593013,0,1,-1,14,-2,2,-2,-3
1482546054615690,0,-1,-17,-39,-14,3,7,1
1482546054615690,1,-7,10,8,-6,-10,-6,-8
1482546054616639,2,9,38,-11,-1,-4,25,18
1482546054616639,0,-6,-49,6,10,8,0,-1
1482546054637656,-7,-14,8,-4,-3,-1,3,0
