timestamp,x,y,z
1482546550084480,-1.0625,-10.3125,-5.25
1482546550099478,-9.5625,-3.6875,2.1875
1482546550123497,-17.5625,4.5,0.4375
1482546550144532,-5.6875,-0.25,-4.8125
1482546550159565,16.25,-0.9375,-6.5625
1482546550183594,23.375,-3.4375,-5.1875
1482546550204573,10.3125,-6,-5.1875
1482546550219572,10.75,-6.8125,-2.8125
1482546550259216,22.9375,-5.6875,-5.3125
1482546550267224,39,-4.3125,-10
1482546550288279,52.875,-2.75,-6.5625
1482546550296241,54.9375,5.1875,3.0625
1482546550318285,52.25,5.9375,13.375
1482546550341411,60.25,6.1875,18.6875
1482546550394452,76.875,3.6875,23.375
1482546550395446,77.375,6.3125,27.5
1482546550402443,82.4375,9.5,32.6875
1482546550415461,74.8125,5.6875,54.1875
1482546550438604,35.375,4.6875,69.25
1482546550468638,25.625,3.0625,70.1875
1482546550489655,4.8125,-0.875,75.1875
1482546550506654,-35.5,-4.125,74.375
1482546550529308,-67.125,-0.5625,81.75
1482546550550347,-119.313,5.9375,98.1875
1482546550566340,-147.5,3.75,107.313
1482546550589373,-83.5625,5.75,94.8125
1482546550610389,-8.8125,-0.4375,88.8125
1482546550626918,16.6875,-5.1875,75.6875
1482546550649166,20.125,-5,61.9375
1482546550670220,26.375,1.6875,55
1482546550686192,21.125,5.25,47.5
1482546550709192,-1.875,5.375,39.8125
1482546550730237,-17.3125,8.875,36.5625
1482546550746334,-5.25,15.875,30.5625
1482546550769349,21.5,21.25,19.3125
1482546550790380,27.3125,20.8125,6.5
1482546550806376,9.5625,22,-3.75
1482546550829426,-13.4375,22.9375,-6
1482546550850541,-28.125,23.3125,-10.1875
1482546550866538,-25.9375,24.375,-16.875
1482546550888562,-15.1875,21.8125,-18.375
1482546550910597,-8.75,11.875,-20.6875
1482546550927118,-5.5625,5.9375,-16.9375
1482546550948714,4,3.6875,-15.5
1482546550969732,18.75,-8.125,-15.125
1482546550985727,16,-20.9375,-15.1875
1482546551008862,23.6875,-24.9375,-7.875
1482546551031942,44.0625,-26.8125,3.375
1482546551045868,60.625,-33.4375,8.3125
1482546551068899,61.6875,-41.6875,9.5625
1482546551091908,62.375,-40.1875,10.4375
1482546551105911,69.9375,-31.3125,17
1482546551129448,73.5,-21.625,25.25
1482546551151982,76.25,-18.875,31.25
1482546551165987,65.1875,-22.125,33.8125
1482546551189001,50.3125,-25.4375,27.75
1482546551212008,47.875,-30.5625,16.875
1482546551226020,42.75,-35.75,7.1875
1482546551248722,31.4375,-36.0625,4.5
1482546551272755,31.3125,-36.5625,2.875
1482546551285747,37.8125,-32.375,2.1875
1482546551308763,34.8125,-23.5625,2.125
1482546551331856,11.875,-20.875,9.375
1482546551346026,-2.1875,-11.375,13.3125
1482546551359036,10.9375,-23.625,16.125
1482546551382105,7.9375,-27.3125,19.375
1482546551397161,22.4375,-15.625,8.625
1482546551419321,20.25,-3.25,-3.0625
1482546551441991,-10.25,5.8125,-9.875
1482546551456999,-36.125,13.25,-20.75
1482546551480012,-42.0625,22.6875,-22
1482546551502032,-51.25,20.375,-16.375
1482546551517043,-41.5625,18.3125,-17.3125
1482546551539369,-32,23.3125,-19.9375
1482546551562390,-31.375,37.0625,-18.125
1482546551577374,-28.75,46.8125,-10.8125
1482546551599414,-35.375,51.8125,-5.625
1482546551622363,-57.0625,58.6875,7.1875
1482546551637381,-43.5,67,11.5625
1482546551659901,-15.125,74.5625,13.875
1482546551681919,-12.6875,71.8125,17.625
1482546551696942,-32.875,60,9.375
1482546551718947,-40.4375,47.125,12.4375
1482546551741761,-25.9375,39.375,-0.8125
1482546551756772,-5.375,28.5625,-18
1482546551779790,-1.625,27.125,-42.9375
1482546551801854,-26.25,-2.8125,-60.5
1482546551816812,-51.5,-34.625,-70.75
1482546551839497,-32.4375,-42.125,-68.875
1482546551861614,14.625,-41.25,-72.0625
1482546551878614,16,-43.75,-71.5625
1482546551899634,-6.75,-34.5625,-50.4375
1482546551921649,-9.125,-24.25,-35.8125
1482546551938251,9.75,-13.5,-25.6875
1482546551959339,21.125,-12.6875,-14.5
1482546551983354,25.4375,-20.375,-9.25
1482546551998350,33,-25.6875,-0.6875
1482546552019381,26.125,-37.5625,10
1482546552041657,20.75,-38.0625,21.625
1482546552058631,10.625,-34.9375,28.9375
1482546552079709,-2.8125,-28.8125,38.5
1482546552101723,-14,-21,57.25
1482546552118696,-7.6875,-14.875,70.25
1482546552142896,-7.1875,-6.6875,88.5625
1482546552162036,-8.3125,-3.1875,108.313
1482546552178007,-8.375,-1.5,119.688
