timestamp,roll,pitch,yaw
1482546550084480,-0.497149,-0.0672226,2.32583
1482546550099478,-0.50129,-0.0680013,2.32719
1482546550123497,-0.506275,-0.0664066,2.32646
1482546550144532,-0.509348,-0.0668958,2.3251
1482546550159565,-0.504945,-0.0688238,2.32351
1482546550183594,-0.496507,-0.0703294,2.32238
1482546550204573,-0.492406,-0.0726506,2.32179
1482546550219572,-0.489243,-0.0751544,2.32201
1482546550259216,-0.482715,-0.0775979,2.32147
1482546550267224,-0.472168,-0.0807192,2.31934
1482546550288279,-0.455199,-0.0836387,2.31792
1482546550296241,-0.436334,-0.0821455,2.31814
1482546550318285,-0.420901,-0.078425,2.32169
1482546550341411,-0.402499,-0.0741681,2.32692
1482546550394452,-0.379638,-0.0711559,2.33435
1482546550395446,-0.358293,-0.0665908,2.34291
1482546550402443,-0.334497,-0.059623,2.35277
1482546550415461,-0.307856,-0.0513139,2.37008
1482546550438604,-0.296975,-0.0406383,2.39262
1482546550468638,-0.290221,-0.0303324,2.41582
1482546550489655,-0.28704,-0.0204856,2.44112
1482546550506654,-0.295997,-0.0143023,2.46624
1482546550529308,-0.318642,-0.00307677,2.49351
1482546550550347,-0.358954,0.011433,2.5252
1482546550566340,-0.410021,0.027705,2.55942
1482546550589373,-0.4382,0.0454303,2.58878
1482546550610389,-0.437986,0.0604299,2.61707
1482546550626918,-0.429249,0.0713125,2.64202
1482546550649166,-0.419021,0.0788119,2.66261
1482546550670220,-0.406121,0.0859444,2.68015
1482546550686192,-0.393983,0.0926636,2.69501
1482546550709192,-0.390163,0.0987862,2.70755
1482546550730237,-0.394238,0.104327,2.71841
1482546550746334,-0.395279,0.111197,2.72614
1482546550769349,-0.386964,0.118841,2.72951
1482546550790380,-0.375776,0.12609,2.72915
1482546550806376,-0.369752,0.132655,2.72558
1482546550829426,-0.372296,0.139521,2.72102
1482546550850541,-0.382147,0.146801,2.71486
1482546550866538,-0.392834,0.153777,2.70601
1482546550888562,-0.400466,0.160778,2.69687
1482546550910597,-0.405472,0.165322,2.68829
1482546550927118,-0.409095,0.168256,2.68198
1482546550948714,-0.408892,0.170075,2.67632
1482546550969732,-0.403668,0.168176,2.67241
1482546550985727,-0.398521,0.161472,2.67039
1482546551008862,-0.389684,0.153305,2.67125
1482546551031942,-0.373561,0.145271,2.6759
1482546551045868,-0.352131,0.135943,2.68275
1482546551068899,-0.330808,0.12274,2.69069
1482546551091908,-0.310322,0.107748,2.69843
1482546551105911,-0.288439,0.0943772,2.70695
1482546551129448,-0.264915,0.0856574,2.71726
1482546551151982,-0.238695,0.0799155,2.72937
1482546551165987,-0.215375,0.073087,2.74269
1482546551189001,-0.197377,0.064545,2.75397
1482546551212008,-0.181165,0.0532203,2.76179
1482546551226020,-0.165369,0.0382374,2.76639
1482546551248722,-0.15381,0.0226082,2.76999
1482546551272755,-0.144169,0.00668136,2.77284
1482546551285747,-0.132594,-0.00855503,2.77514
1482546551308763,-0.119188,-0.0205075,2.77694
1482546551331856,-0.11344,-0.0308899,2.78094
1482546551346026,-0.113026,-0.0382192,2.78594
1482546551359036,-0.109717,-0.049648,2.79256
1482546551382105,-0.108452,-0.0628594,2.80042
1482546551397161,-0.100378,-0.0729191,2.8039
1482546551419321,-0.0914028,-0.077383,2.80284
1482546551441991,-0.0921044,-0.0769639,2.79903
1482546551456999,-0.102159,-0.0749478,2.79128
1482546551480012,-0.114853,-0.0714367,2.78259
1482546551502032,-0.13252,-0.0685685,2.77603
1482546551517043,-0.146854,-0.0664423,2.76924
1482546551539369,-0.156955,-0.063699,2.76113
1482546551562390,-0.167101,-0.0583186,2.75271
1482546551577374,-0.174755,-0.0502126,2.74616
1482546551599414,-0.184124,-0.0407552,2.74075
1482546551622363,-0.204765,-0.0278602,2.73936
1482546551637381,-0.222415,-0.0101593,2.73844
1482546551659901,-0.229543,0.0123306,2.73729
1482546551681919,-0.235456,0.0361303,2.73756
1482546551696942,-0.247144,0.0569034,2.73561
1482546551718947,-0.264174,0.0745859,2.73545
1482546551741761,-0.27739,0.0897916,2.73126
1482546551756772,-0.281866,0.100826,2.72219
1482546551779790,-0.281123,0.110444,2.70548
1482546551801854,-0.291249,0.11104,2.68543
1482546551816812,-0.31383,0.100083,2.66518
1482546551839497,-0.332379,0.0875282,2.64637
1482546551861614,-0.331822,0.0768108,2.62704
1482546551878614,-0.326566,0.0643476,2.60837
1482546551899634,-0.329326,0.0574799,2.59564
1482546551921649,-0.3341,0.0555926,2.58648
1482546551938251,-0.332426,0.0581646,2.57945
1482546551959339,-0.326938,0.0608607,2.576
1482546551983354,-0.318689,0.0593475,2.57513
1482546551998350,-0.305983,0.0552435,2.57767
1482546552019381,-0.296267,0.0460645,2.58497
1482546552041657,-0.289571,0.0380862,2.59606
1482546552058631,-0.286687,0.0341818,2.60917
1482546552079709,-0.289246,0.0331411,2.6248
1482546552101723,-0.297328,0.0353771,2.64595
1482546552118696,-0.303059,0.0420733,2.67078
1482546552142896,-0.307619,0.0540097,2.70092
1482546552162036,-0.30912,0.0655641,2.73724
1482546552178007,-0.309859,0.0788314,2.77726
1482546552199045,-0.309718,0.0945573,2.81945
1482546552222151,-0.307654,0.110863,2.86331
1482546552238672,-0.302934,0.125416,2.90595
1482546552259808,-0.290932,0.139434,2.94353
1482546552281826,-0.270956,0.152293,2.97622
1482546552299834,-0.256633,0.1614,3.00148
1482546552319853,-0.254351,0.161115,3.0172
1482546552342076,-0.266652,0.15268,3.02679
1482546552360064,-0.281565,0.149093,3.03645
1482546552379127,-0.284739,0.143793,3.04378
1482546552402228,-0.29167,0.132765,3.04995
1482546552424842,-0.30746,0.12026,3.05536
1482546552442314,-0.309049,0.10941,3.06253
1482546552462342,-0.289347,0.102921,3.07074
1482546552484361,-0.270085,0.103833,3.08453
1482546552499374,-0.268617,0.110613,3.09899
1482546552522466,-0.273398,0.113936,3.10936
1482546552544313,-0.26828,0.112338,3.11827
1482546552559349,-0.263986,0.105761,3.12248
1482546552582457,-0.2693,0.0993098,3.12504
1482546552604497,-0.277646,0.0954187,3.12467
1482546552619508,-0.2797,0.0946629,3.12283
1482546552642414,-0.278414,0.0936748,3.11574
1482546552664460,-0.281005,0.0919815,3.10734
1482546552679470,-0.289168,0.092002,3.09953
1482546552702459,-0.296894,0.0909771,3.09004
1482546552733531,-0.299752,0.0925392,3.07853
1482546552739535,-0.307507,0.0917417,3.06651
1482546552761641,-0.320104,0.0903505,3.0563
1482546552784658,-0.328296,0.0900737,3.04651
1482546552799670,-0.329977,0.0893774,3.03513
1482546552821684,-0.329898,0.0891731,3.02252
1482546552844807,-0.333254,0.0885845,3.01026
