timestamp,x,y,z
1485475242510381,-1.75,2.1875,-3.1875
1485475242526392,-1.9375,2.375,0.5625
1485475242549537,-2.875,0.4375,-0.625
1485475242570560,-4.1875,-1.375,0.3125
1485475242587573,-1.5625,-1.9375,0
1485475242609587,1.4375,-3.125,2.375
1485475242661147,0.0625,-1.3125,3.0625
1485475242662152,-1.5625,0.375,1.9375
1485475242684156,3.875,-3.4375,1.875
1485475242685157,4.375,-4.3125,1.3125
1485475242706170,4.625,-4.125,1.0625
1485475242721179,6.5,-3.0625,0.4375
1485475242743698,4.875,0,-0.4375
1485475242767217,8.8125,-0.9375,0
1485475242781226,10.8125,1,0.1875
1485475242803255,9.25,-0.6875,-1.6875
1485475242826271,10.0625,-1.5,-1.375
1485475242840772,6.375,-1.875,0.5
1485475242863288,0,-1.5625,3
1485475242885304,-0.875,-1.625,3.75
1485475242900315,2.1875,-3.375,2.3125
1485475242923330,-3.625,-2.0625,-0.75
1485475242945850,-9.125,-3.8125,-1.625
1485475242961222,-0.25,-2,-1.4375
1485475242983239,-4,-2.0625,-0.0625
1485475243005264,-7.4375,-2.4375,0.125
1485475243020275,-10.3125,-6.5,-0.0625
1485475243043320,-12.5625,-5.625,-2.875
1485475243066121,-11,-2.75,-3
1485475243081135,-2,-0.1875,-0.75
1485475243103151,-1.6875,1.4375,1.625
1485475243126164,-0.3125,1.125,-1.125
1485475243141166,-12.6875,0.125,-3.5625
1485475243163002,-2,2.875,-2.5625
1485475243186032,4.9375,3.125,-1
1485475243201040,3.875,5.375,-0.4375
1485475243223045,-8.9375,7,-2.5625
1485475243246065,-9.4375,4.5625,-3.5
1485475243261076,1.6875,3.1875,0.375
1485475243283592,1.625,1.75,-0.25
1485475243306108,0.3125,5.4375,-0.9375
1485475243321130,4.25,10.125,0.25
1485475243343634,3.8125,10.375,3
1485475243366149,-1.875,9.25,1.75
1485475243384172,-1.125,5.75,2.875
1485475243403710,-0.3125,1.875,1.625
1485475243426225,-10.6875,0.1875,0.5625
1485475243440240,-1.9375,2.625,3.3125
1485475243463272,1.5625,4.8125,4.4375
1485475243486271,0,5,4.25
1485475243500293,4.6875,4.5625,3.125
1485475243523299,9,2.3125,2.625
1485475243545833,6,-0.25,2.75
1485475243560831,3.5,-1.1875,1.8125
1485475243582859,4.8125,-0.75,1.125
1485475243605863,4.1875,0.1875,1.3125
1485475243620886,-0.125,0.625,0.5625
1485475243643392,-2.25,0.1875,0.3125
1485475243665908,-1.25,0.0625,0.25
1485475243688424,-0.0625,-0.0625,0.625
1485475243703444,-0.125,-0.1875,0.6875
