timestamp,x,y,z
1482546054223881,-1,81.25,-184.688
1482546054246909,-0.6875,81.0625,-157
1482546054271919,6.375,65.875,-124.938
1482546054285942,-3.75,43.25,-95.3125
1482546054306959,-20.8125,27.125,-73.375
1482546054330744,-7.8125,11.0625,-47.8125
1482546054384780,36.125,15.125,-29.25
1482546054385728,51.6875,6.125,-10.8125
1482546054385728,18.75,-10.6875,0.4375
1482546054397825,-3.3125,-26.4375,1.6875
1482546054422554,1.75,-29.4375,-4.875
1482546054437564,13.0625,-17.0625,-2.3125
1482546054458614,13.3125,-0.875,9.625
1482546054504707,-1.8125,8.125,14.1875
1482546054505195,-15.75,12.8125,14.5
1482546054517785,-21.125,9.875,5.375
1482546054538957,-22,6.3125,1.875
1482546054556967,-11.625,-0.4375,8.875
1482546054586990,5,-9.875,21.25
1482546054599581,8.75,-9,25
1482546054616639,-9.25,-12.3125,36.875
1482546054639653,-26.3125,-16.375,50.8125
1482546054659699,-25.9375,-19,61.9375
1482546054676684,-21.5625,-20.8125,76
1482546054699731,-23.875,-25.25,87.25
1482546054718926,-37.0625,-31.0625,101.625
1482546054737009,-50.9375,-40.375,114.688
1482546054760048,-56.25,-47.8125,123.938
1482546054779091,-55.4375,-55.4375,133.563
1482546054797614,-51.375,-67.3125,142.5
1482546054827258,-48.5625,-86.5,150.625
1482546054839376,-51.625,-102.313,158.438
1482546054857331,-44.75,-113.625,164.813
1482546054879347,-34,-117.125,171.125
1482546054900931,-22.125,-124,172.438
1482546054917535,-14.75,-132.438,169.688
1482546054939537,-13.75,-137.25,163.375
1482546054960582,-12.5,-136.313,157.563
1482546054976591,-0.6875,-129.875,154.25
1482546055004172,21.0625,-126.25,156.25
1482546055021069,24.0625,-122.625,152.375
1482546055037073,24,-122.875,138.375
1482546055059207,19.8125,-113.313,127.75
1482546055080252,17.8125,-102.375,121.813
1482546055097245,26.625,-93.25,111.875
1482546055119876,39.625,-86.6875,96.4375
1482546055140902,30.875,-81.6875,80.125
1482546055161921,12.1875,-67.125,76
1482546055179920,9.4375,-49.5,73.625
1482546055200968,17.8125,-38,68
1482546055222078,19.3125,-33.0625,57.0625
1482546055239091,13.8125,-26.625,42.0625
1482546055260134,1.125,-13.8125,35.1875
1482546055281135,-1.125,-0.3125,39.5625
1482546055299137,3.75,5.125,38.6875
1482546055321654,-8.375,2.1875,25.6875
1482546055342681,-21.3125,1.6875,20.5
1482546055358695,-2.6875,8.625,-1.6875
1482546055381712,7.75,26.125,0
1482546055402744,16.125,36.6875,0.625
1482546055418428,4.125,42.5,-1.125
1482546055441431,-7.8125,43.75,-6.0625
1482546055462466,-14.3125,44.5625,-19.375
1482546055484481,-25.6875,48,-30.6875
1482546055501506,-24.125,54.9375,-31.4375
1482546055525015,-23.3125,56.0625,-33.8125
1482546055545324,-30.625,52.625,-36.9375
1482546055561337,-50.5,53.5625,-34.5625
1482546055583385,-61.875,68.375,-16.3125
1482546055604890,-75.25,73.125,-5.5625
1482546055621512,-83.625,60.125,15.125
1482546055643537,-82.8125,38.9375,41.125
1482546055664550,-48.5625,8.1875,62.3125
1482546055681563,-2.375,-14.8125,81.125
1482546055704089,28.8125,-23.1875,97.1875
1482546055724785,38.375,-27.0625,101.438
1482546055740796,25.5625,-22.375,99.625
1482546055763778,3.8125,-6.0625,91.75
1482546055785815,6.0625,1.125,78.5
1482546055801324,18.375,1.625,63.9375
1482546055823186,25.375,-3.5625,37
1482546055846265,1.5625,-25.375,-3.3125
1482546055860229,-25.875,-29.5625,-18.75
1482546055883287,-16.5,-18.9375,-23.3125
1482546055906280,-0.625,-25.6875,-33.6875
