timestamp,x,y,z
1482546550084480,0.114746,-0.595215,0.884277
1482546550099478,0.0683594,-0.524902,0.899902
1482546550123497,0.0585938,-0.440918,0.885742
1482546550144532,0.0507813,-0.525879,0.839844
1482546550159565,0.09375,-0.547852,0.873047
1482546550183594,0.0581055,-0.475586,0.895996
1482546550204573,0.0541992,-0.458496,0.894043
1482546550219572,0.0751953,-0.507324,0.901855
1482546550259216,0.0703125,-0.513184,0.84082
1482546550267224,0.0976563,-0.599121,0.889648
1482546550288279,0.12793,-0.525391,0.919922
1482546550296241,0.11084,-0.453125,0.938477
1482546550318285,0.0864258,-0.523926,0.924316
1482546550341411,0.0942383,-0.5,0.929688
1482546550394452,0.130859,-0.523926,0.942871
1482546550395446,0.105469,-0.558105,0.901855
1482546550402443,0.0625,-0.516113,0.938965
1482546550415461,0.0297852,-0.230957,0.932129
1482546550438604,-0.0336914,-0.306152,0.942383
1482546550468638,-0.0615234,-0.327637,0.893066
1482546550489655,-0.0888672,-0.186035,0.95459
1482546550506654,0.0146484,-0.130371,0.95752
1482546550529308,-0.108887,-0.290527,1.0249
1482546550550347,-0.214355,-0.144043,0.955566
1482546550566340,-0.187012,-0.51416,1.09424
1482546550589373,-0.149902,-0.522949,1.10449
1482546550610389,-0.138672,-0.372559,0.964844
1482546550626918,-0.130859,-0.359863,0.919922
1482546550649166,-0.0849609,-0.353027,0.957031
1482546550670220,-0.0400391,-0.303223,0.929688
1482546550686192,-0.0258789,-0.231934,0.926758
1482546550709192,-0.0527344,-0.219238,0.87793
1482546550730237,-0.00634766,-0.324707,0.874023
1482546550746334,-0.0112305,-0.387695,0.918945
1482546550769349,-0.0522461,-0.366699,0.947266
1482546550790380,-0.113281,-0.310059,0.973633
1482546550806376,-0.126953,-0.240723,0.974121
1482546550829426,-0.155273,-0.27002,1.00293
1482546550850541,-0.192871,-0.356934,0.97998
1482546550866538,-0.219238,-0.418945,0.979004
1482546550888562,-0.276367,-0.454102,0.975098
1482546550910597,-0.324707,-0.446289,0.969727
1482546550927118,-0.318359,-0.446777,0.975098
1482546550948714,-0.307617,-0.450195,1.00439
1482546550969732,-0.306152,-0.477051,1.04395
1482546550985727,-0.27832,-0.458008,1.07617
1482546551008862,-0.212891,-0.420898,1.07324
1482546551031942,-0.171875,-0.410156,1.05273
1482546551045868,-0.169434,-0.393066,0.987305
1482546551068899,-0.101563,-0.378906,0.934082
1482546551091908,0.0117188,-0.378906,0.900391
1482546551105911,0.104004,-0.407227,0.871094
1482546551129448,0.0791016,-0.351563,0.820313
1482546551151982,0.015625,-0.259766,0.819824
1482546551165987,0.0161133,-0.206055,0.854004
1482546551189001,0.0209961,-0.189941,0.871094
1482546551212008,0.0327148,-0.200684,0.864746
1482546551226020,0.0913086,-0.121094,0.889648
1482546551248722,0.118164,-0.121582,0.90625
1482546551272755,0.137207,-0.190918,0.920898
1482546551285747,0.177734,-0.185547,0.905762
1482546551308763,0.176758,-0.0639648,0.952637
1482546551331856,0.176758,-0.0419922,0.99707
1482546551346026,0.197266,-0.0620117,0.996094
1482546551359036,0.19873,-0.104492,0.845215
1482546551382105,0.237793,-0.134766,0.868652
1482546551397161,0.27002,-0.0727539,0.886719
1482546551419321,0.202148,-0.00976563,0.943359
1482546551441991,0.126465,0.0170898,0.931641
1482546551456999,0.146484,-0.015625,0.955078
1482546551480012,0.209473,-0.0483398,0.888672
1482546551502032,0.204102,-0.126953,0.891602
1482546551517043,0.201172,-0.151367,0.942383
1482546551539369,0.230957,-0.125,0.937012
1482546551562390,0.316895,-0.146973,0.939941
1482546551577374,0.346191,-0.0810547,0.944824
1482546551599414,0.363281,-0.0561523,0.908691
1482546551622363,0.34082,-0.23291,0.96875
1482546551637381,0.254883,-0.350098,1.07959
1482546551659901,0.146973,-0.329102,1.08447
1482546551681919,0.0458984,-0.312012,1.03613
1482546551696942,-0.0493164,-0.266602,1.02539
1482546551718947,-0.106445,-0.399414,1.02539
1482546551741761,-0.181152,-0.442871,0.994629
1482546551756772,-0.23584,-0.368164,1.01563
1482546551779790,-0.308594,-0.167969,1.02051
1482546551801854,-0.404297,-0.210449,0.864258
1482546551816812,-0.418457,-0.382813,0.844727
1482546551839497,-0.459473,-0.567383,0.946777
1482546551861614,-0.529785,-0.476563,0.996094
1482546551878614,-0.475098,-0.279785,0.942871
1482546551899634,-0.474121,-0.327148,0.998535
1482546551921649,-0.473633,-0.38916,0.976563
1482546551938251,-0.466309,-0.403809,0.991699
1482546551959339,-0.409668,-0.385254,0.932617
1482546551983354,-0.312988,-0.345703,0.969727
1482546551998350,-0.234863,-0.241699,0.903809
1482546552019381,-0.138672,-0.263672,0.884277
1482546552041657,-0.139648,-0.319824,0.941406
1482546552058631,-0.23584,-0.327148,0.912598
1482546552079709,-0.225098,-0.36084,0.923828
1482546552101723,-0.177734,-0.441406,0.908691
1482546552118696,-0.223145,-0.459961,0.91748
1482546552142896,-0.256348,-0.446289,0.949219
1482546552162036,-0.260742,-0.422852,0.941895
1482546552178007,-0.26123,-0.42627,0.939453
1482546552199045,-0.294434,-0.413086,0.921875
1482546552222151,-0.276367,-0.411621,0.914063
1482546552238672,-0.226074,-0.419922,0.925293
1482546552259808,-0.169434,-0.329102,0.946289
1482546552281826,-0.12793,-0.257813,0.919922
1482546552299834,-0.109375,-0.234863,0.936035
