timestamp,x,y,z,w
1482546749875544,0.0502319,-0.133789,0.869568,0.472595
1482546749898574,0.0510254,-0.135925,0.868896,0.473145
1482546749922711,0.0488892,-0.139404,0.86908,0.471985
1482546749937740,0.0443726,-0.14386,0.86969,0.469971
1482546749966737,0.0397339,-0.14978,0.870544,0.466919
1482546749981749,0.0367432,-0.154602,0.871948,0.463013
1482546749996827,0.0335693,-0.155762,0.874634,0.457825
1482546750035917,0.0287476,-0.155273,0.878418,0.450928
1482546750043917,0.022522,-0.155396,0.883118,0.442017
1482546750050947,0.0164185,-0.155151,0.888245,0.432007
1482546750071959,0.0112305,-0.15332,0.893799,0.421204
1482546750097045,0.00665283,-0.150146,0.899902,0.409241
1482546750117028,0.00177002,-0.145996,0.906372,0.396362
1482546750171682,-0.00354004,-0.141174,0.912903,0.382813
1482546750171682,-0.00952148,-0.137512,0.919434,0.368225
1482546750173643,-0.0164185,-0.134216,0.925537,0.353638
1482546750191712,-0.0233154,-0.130676,0.931274,0.339172
1482546750214737,-0.0297852,-0.126099,0.936829,0.324768
1482546750228331,-0.0349121,-0.121338,0.942078,0.310547
1482546750251343,-0.0396729,-0.117737,0.94696,0.296265
1482546750273360,-0.045105,-0.115723,0.951355,0.281799
1482546750288336,-0.0509033,-0.114441,0.9552,0.268066
1482546750311456,-0.0559082,-0.114014,0.958557,0.254944
1482546750333677,-0.0617676,-0.116943,0.961182,0.242004
1482546750351690,-0.0686035,-0.120178,0.963379,0.229553
1482546750370704,-0.0766602,-0.122681,0.964905,0.219055
1482546750393722,-0.0852051,-0.121521,0.966125,0.210876
1482546750408763,-0.0947876,-0.117554,0.967102,0.204468
1482546750433805,-0.106018,-0.114868,0.967224,0.200012
1482546750453834,-0.118835,-0.114929,0.966003,0.198547
1482546750468846,-0.130127,-0.117676,0.964111,0.199219
1482546750490860,-0.139526,-0.121704,0.961914,0.201111
1482546750513911,-0.145996,-0.123108,0.9599,0.205261
1482546750529066,-0.148254,-0.123535,0.958191,0.211182
1482546750554086,-0.147827,-0.124817,0.956665,0.217407
1482546750582222,-0.148926,-0.126221,0.955261,0.222168
1482546750588192,-0.150391,-0.129517,0.953918,0.225098
1482546750611209,-0.150635,-0.135864,0.952454,0.227356
1482546750633331,-0.149597,-0.143616,0.95105,0.228943
1482546750648342,-0.14801,-0.148865,0.9505,0.229065
1482546750671307,-0.145447,-0.145081,0.951721,0.227966
1482546750695337,-0.142212,-0.133789,0.954468,0.225525
1482546750708942,-0.137085,-0.120972,0.957825,0.221497
1482546750731504,-0.130859,-0.112,0.960815,0.217163
1482546750753514,-0.12323,-0.104431,0.963318,0.214294
1482546750768487,-0.114014,-0.0986328,0.965515,0.212158
1482546750799509,-0.103455,-0.0946655,0.96759,0.209778
1482546750813593,-0.0907593,-0.088623,0.970093,0.206909
1482546750831682,-0.0767822,-0.0779419,0.972961,0.203247
1482546750850782,-0.0651855,-0.0639648,0.975647,0.199219
1482546750873754,-0.057373,-0.0471802,0.977966,0.194885
1482546750888764,-0.0512695,-0.0336304,0.979797,0.190063
1482546750911292,-0.0472412,-0.0283203,0.981079,0.185547
1482546750933307,-0.0429688,-0.022522,0.982239,0.181152
1482546750948326,-0.0374756,-0.0098877,0.983459,0.176575
1482546750971341,-0.0302124,0.00720215,0.984558,0.172241
1482546750993401,-0.0223999,0.0218506,0.985413,0.167175
1482546751008935,-0.0161743,0.0314331,0.986145,0.161743
1482546751031050,-0.010498,0.0358887,0.986694,0.157837
1482546751054071,-0.00500488,0.039856,0.987122,0.154724
1482546751069081,0.000732422,0.0466919,0.987122,0.152771
