timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482546947361418,-4,2,9,17,-2,-1,-2,-2
1482546947361418,-10,-11,-15,1,2,-1,-2,-4
1482546947362421,-11,-5,9,-7,-7,0,0,-1
1482546947362421,5,1,15,-1,0,0,-2,0
1482546947366421,1,6,8,8,6,1,1,4
1482546947366421,1,-8,-28,-7,12,8,1,2
1482546947367425,-36,-7,23,16,-13,-9,-4,-4
1482546947367425,-12,4,-12,18,8,4,0,-2
1482546947372500,43,-7,-2,-26,-4,-2,-1,2
1482546947372500,20,14,2,6,-4,-7,-3,-2
1482546947384521,2,-10,-3,0,6,6,0,0
1482546947384521,-14,2,8,1,-3,-3,-2,-3
1482546947387470,-6,-3,-15,5,-2,-3,0,0
1482546947387470,3,-1,18,-2,-7,-2,1,4
1482546947402496,19,4,-11,-11,7,4,1,-1
1482546947402496,10,6,-13,15,-2,-3,0,1
1482546947411502,-9,-5,-16,-47,-5,-2,-2,-3
1482546947411502,-6,-4,-10,-9,6,2,-1,0
1482546947434076,-4,-9,72,33,-10,-7,-3,-4
1482546947434076,13,2,10,22,7,1,-1,1
1482546947434559,-18,-3,-18,3,-3,0,1,-2
1482546947434559,-3,3,1,10,-4,-4,-2,-2
1482546947447569,24,0,-27,-35,3,1,1,1
1482546947447569,-8,-9,-6,-22,-9,0,1,1
1482546947489651,1,4,11,6,-5,-4,-1,-1
1482546947489651,14,2,-7,-23,8,4,1,1
1482546947490654,-9,8,3,44,2,-3,-1,3
1482546947490654,-9,-14,-8,-7,-7,-1,-1,-2
1482546947493655,6,-1,5,-22,4,0,-2,-3
1482546947493655,-1,-5,8,31,12,5,1,-1
1482546947494651,8,2,6,-5,-9,-7,-2,-2
1482546947494651,-1,1,13,15,5,0,0,0
1482546947501658,4,-5,-23,-16,-10,-3,-1,-1
1482546947501658,-10,18,8,-2,-6,-2,0,-1
1482546947507667,2,4,-12,-12,-1,-2,-4,-4
1482546947507667,-9,-12,-2,1,-1,-3,-1,-3
1482546947523661,-2,-10,-3,-2,1,-1,0,0
1482546947523661,0,0,-8,-5,-2,-3,-1,0
1482546947530669,0,-2,5,-9,3,2,-1,-1
1482546947530669,5,7,5,-4,0,0,-1,-1
1482546947539703,-4,-1,-9,14,1,0,-1,-1
1482546947539703,-8,-6,-3,-5,-5,-5,-2,-3
1482546947561836,1,4,6,8,1,-3,-1,-1
1482546947561836,3,-3,-13,-20,-7,-1,-2,-1
1482546947562832,-1,1,7,19,2,-1,1,1
1482546947562832,0,-3,21,5,-6,-2,-3,-1
1482546947575883,1,9,-10,-3,5,4,1,-1
1482546947575883,1,4,-10,4,-6,-6,-2,-1
1482546947583871,-7,-2,-2,-5,8,4,2,0
1482546947583871,0,1,-15,-17,-11,-2,-2,0
1482546947598897,-1,-4,9,1,1,-2,0,-2
1482546947598897,4,6,12,-6,-5,-2,-1,-1
1482546947600858,-1,0,-38,13,-12,-5,-3,0
1482546947600858,3,-1,27,9,8,2,0,-1
1482546947621921,-10,-19,-28,-33,-6,1,0,-2
1482546947621921,-2,3,3,5,1,-2,-1,0
1482546947622861,2,-2,4,-14,-3,-1,-1,-1
1482546947622861,3,1,-1,5,1,-1,1,-2
1482546947635480,2,-1,1,4,-3,0,0,2
1482546947635480,-3,1,0,-3,3,3,1,-1
1482546947644526,0,2,8,1,2,1,-2,-1
1482546947644526,-2,-6,-12,-1,-4,-3,-1,0
1482546947659130,-3,0,7,3,-2,-1,0,-2
1482546947659130,1,-6,-7,-7,0,-2,-1,0
1482546947661123,-1,0,7,-1,1,-2,-2,-3
1482546947661123,-2,-3,-8,11,4,1,0,-1
1482546947681146,0,-5,-4,-13,-9,-1,-2,-1
1482546947681146,3,6,1,8,3,0,0,1
1482546947683133,-12,8,24,8,7,5,2,-1
1482546947683133,-4,-4,-23,-13,-6,-5,-2,-1
1482546947704163,3,-10,9,17,0,-3,-2,0
1482546947704163,-4,6,-1,-1,4,3,-1,-1
1482546947705165,-4,-3,-4,3,-6,-2,-1,-2
