timestamp,roll,pitch,yaw
1482546947200444,-0.186926,-0.00886377,2.11039
1482546947222474,-0.18869,-0.00975356,2.11006
1482546947248184,-0.19285,-0.0121661,2.10953
1482546947261182,-0.19638,-0.0160049,2.10813
1482546947283215,-0.197204,-0.019089,2.10739
1482546947306224,-0.195554,-0.0212904,2.10705
1482546947351425,-0.196006,-0.0229683,2.10691
1482546947360419,-0.197413,-0.0254863,2.10671
1482546947363418,-0.195765,-0.0276607,2.10662
1482546947382520,-0.194031,-0.029221,2.10651
1482546947397496,-0.195411,-0.0311115,2.10545
1482546947417510,-0.195896,-0.0320563,2.10447
1482546947441573,-0.194462,-0.0321456,2.10391
1482546947487689,-0.191963,-0.0323908,2.10275
1482546947488636,-0.189385,-0.0329989,2.10167
1482546947500679,-0.186587,-0.0335711,2.09974
1482546947523661,-0.183862,-0.0337866,2.09752
1482546947538709,-0.179938,-0.0335869,2.0952
1482546947562832,-0.174755,-0.0318884,2.09355
1482546947583871,-0.168492,-0.0305778,2.09145
1482546947599860,-0.162525,-0.031539,2.08791
1482546947622861,-0.157218,-0.0317901,2.08536
1482546947643527,-0.150503,-0.0320672,2.08087
1482546947660134,-0.142855,-0.0338164,2.07917
1482546947682141,-0.135038,-0.0346351,2.07699
1482546947705165,-0.134011,-0.0347719,2.07472
1482546947719193,-0.13636,-0.0364763,2.07069
1482546947742792,-0.136112,-0.0411605,2.0654
1482546947763453,-0.13391,-0.0468992,2.06093
1482546947786464,-0.122377,-0.0538341,2.05679
1482546947802575,-0.11259,-0.061557,2.05382
1482546947824565,-0.112337,-0.0738121,2.04855
1482546947839645,-0.113997,-0.0879855,2.04165
1482546947862468,-0.11531,-0.0988266,2.03349
1482546947884526,-0.114584,-0.104665,2.02427
1482546947899470,-0.114215,-0.107274,2.01359
1482546947922514,-0.125022,-0.112004,2.0043
1482546947945070,-0.14569,-0.116732,1.99736
1482546947958737,-0.173067,-0.118994,1.99526
1482546947982779,-0.20291,-0.117734,1.99686
1482546948012780,-0.222163,-0.117372,2.00286
1482546948025808,-0.234851,-0.118225,2.02101
1482546948042855,-0.235289,-0.114196,2.04998
1482546948065384,-0.236788,-0.105638,2.08428
1482546948085490,-0.243889,-0.0966704,2.12159
1482546948102572,-0.257043,-0.0875649,2.16226
1482546948124592,-0.26477,-0.0779386,2.20478
1482546948146212,-0.261405,-0.0664457,2.24842
1482546948162226,-0.247696,-0.0556655,2.29252
1482546948185253,-0.232535,-0.047247,2.33724
1482546948206256,-0.221958,-0.0398033,2.38157
1482546948222268,-0.215525,-0.0310137,2.42651
1482546948244797,-0.209075,-0.0204341,2.47016
1482546948266191,-0.202161,-0.00845613,2.5099
1482546948282198,-0.197412,0.00441446,2.54618
1482546948305219,-0.192834,0.0167362,2.57754
1482546948326244,-0.187587,0.0260325,2.60422
1482546948342814,-0.181882,0.0320709,2.62641
1482546948364935,-0.174419,0.0333334,2.64397
1482546948386152,-0.169191,0.0322642,2.65508
1482546948402240,-0.167393,0.0303109,2.65982
1482546948425294,-0.168046,0.0264645,2.66105
1482546948446346,-0.167116,0.0187297,2.65777
1482546948469971,-0.169123,0.00551492,2.65356
1482546948483983,-0.169543,-0.00725782,2.65012
1482546948507027,-0.169498,-0.0155926,2.64853
1482546948530015,-0.167832,-0.0217372,2.64858
1482546948544571,-0.16542,-0.0304101,2.64639
1482546948567363,-0.166626,-0.0406971,2.64351
1482546948590381,-0.173945,-0.0477684,2.6393
1482546948611396,-0.18136,-0.051864,2.63247
1482546948627407,-0.187186,-0.050418,2.62555
1482546948649443,-0.194862,-0.0468491,2.61976
1482546948670566,-0.202058,-0.0427464,2.61807
1482546948687553,-0.207791,-0.0378757,2.61987
1482546948709569,-0.214123,-0.0330465,2.62262
1482546948730607,-0.218571,-0.0281864,2.6233
1482546948747612,-0.218548,-0.0240543,2.62161
1482546948770131,-0.217807,-0.020474,2.61663
1482546948791198,-0.2249,-0.0174771,2.614
1482546948807171,-0.237427,-0.0135792,2.61326
1482546948830194,-0.246235,-0.00839959,2.61267
1482546948850902,-0.250451,-0.00193411,2.61136
1482546948866913,-0.252784,0.0062629,2.60859
1482546948889914,-0.257055,0.0149905,2.60609
1482546948910991,-0.263942,0.0234864,2.60437
1482546948926995,-0.271169,0.0323507,2.60129
1482546948950022,-0.277086,0.0434145,2.59662
1482546948971219,-0.27988,0.0571698,2.59022
