timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1485545685582080,0,-1,2,-3,1,-4,-3,0
1485545685582080,5,1,5,-3,-6,6,0,5
1485545685583097,-6,-4,-4,11,2,-4,-2,-2
1485545685583097,-3,-3,4,-5,2,-6,-2,-4
1485545685587095,5,2,-2,-4,-4,4,1,2
1485545685587095,1,1,6,3,1,-2,0,-2
1485545685590112,-3,-4,6,-6,-1,-3,-3,-3
1485545685590112,1,0,-8,-8,-3,2,1,2
1485545685593114,0,1,8,18,-2,-2,1,-1
1485545685593114,-1,-2,-5,-2,3,-5,-2,-2
1485545685601618,-1,4,13,-2,-2,-1,0,-1
1485545685601618,2,1,-3,-1,-5,1,-2,0
1485545685618143,-4,-5,-3,-12,-3,-3,0,-4
1485545685618143,-1,-1,-5,3,-3,-4,-2,-2
1485545685623152,5,3,-2,-1,-3,3,2,2
1485545685623152,0,1,1,-1,-1,0,-2,0
1485545685633142,-6,-1,-8,-2,2,-5,-3,-2
1485545685633142,2,-2,4,4,-3,1,-1,-3
1485545685654170,-2,0,-5,-5,-4,2,-1,5
1485545685654170,-1,-2,6,3,1,-2,-1,-4
1485545685656172,-1,0,1,-1,2,0,1,-1
1485545685656172,-5,-1,-5,-2,-2,2,-1,0
1485545685701224,-8,-2,-1,-1,-2,-3,-3,-7
1485545685701224,4,3,0,1,-7,4,-1,5
1485545685702225,-6,-1,-7,0,0,-4,-1,-3
1485545685702225,-5,-3,3,-4,4,-5,0,-3
1485545685702721,8,-1,-6,8,-2,5,2,12
1485545685702721,-19,-1,1,-6,1,-1,-1,-15
1485545685706129,-5,-4,-3,-4,2,-5,-3,7
1485545685706129,1,1,5,2,-4,1,1,-4
1485545685712136,1,-2,4,-4,-1,3,-1,-1
1485545685712136,-4,-1,-6,1,4,-6,-3,-1
1485545685720142,0,-1,1,3,-2,-2,-1,-4
1485545685720142,1,1,2,-14,-6,4,1,0
1485545685729137,-2,-5,-4,0,0,-1,-1,-3
1485545685729137,1,0,-1,-1,0,-3,0,3
1485545685743157,6,0,1,-1,-5,3,-1,-4
1485545685743157,-1,-2,-7,0,-1,-2,0,0
1485545685750151,-1,-4,-6,6,0,-5,-1,-5
1485545685750151,3,0,5,2,0,-3,-1,3
1485545685774179,0,2,1,1,2,1,-1,10
1485545685774179,-5,1,-5,-2,0,-1,-2,-7
1485545685775168,0,1,2,-4,-1,-1,2,0
1485545685775168,3,-1,0,7,-3,-1,-2,-3
1485545685789206,-3,-3,3,-5,-2,-2,-1,3
1485545685789206,1,2,-1,-1,-1,-3,-2,9
1485545685795209,-2,3,4,-4,0,-1,-1,-1
1485545685795209,3,-2,-1,-1,-4,-1,2,0
1485545685811709,-2,1,0,4,0,2,0,-8
1485545685811709,4,0,2,0,-4,-3,-3,2
1485545685813225,-7,-7,-8,-4,-2,3,1,-3
1485545685813225,2,1,-3,-2,2,-1,-2,-2
1485545685834237,-2,-2,-3,1,0,2,0,-5
1485545685834237,2,2,1,4,-1,0,0,-2
1485545685835738,-6,-2,1,-1,0,-2,0,1
1485545685835738,10,-4,-3,-7,-2,-1,-1,12
1485545685848754,4,-1,2,-2,1,0,3,-8
1485545685848754,-14,0,-4,4,0,0,-5,-5
1485545685855250,6,3,2,-4,-2,-3,0,1
1485545685855250,0,-2,1,-1,-2,1,0,0
1485545685871761,4,1,0,-2,-3,-1,-1,-2
1485545685871761,-2,-6,-3,25,-1,-1,-1,1
1485545685873262,4,1,2,-5,-3,-3,0,-2
1485545685873262,-5,1,0,0,0,1,1,-4
1485545685894277,-2,1,-6,2,-2,-1,-5,-3
1485545685894277,-1,-2,-3,-9,-1,2,0,-2
1485545685895778,0,2,0,2,-3,-1,-4,-2
1485545685895778,-3,-2,-6,1,1,-2,2,-4
1485545685908286,-3,-3,-3,-7,-2,-2,0,-1
1485545685908286,2,-3,-2,12,0,-1,-1,1
1485545685915304,2,3,8,-4,-1,-2,-3,-2
1485545685915304,-3,0,-2,-4,-2,0,-2,-2
1485545685931803,0,1,-5,-4,-1,1,-1,0
1485545685931803,1,1,-4,-10,-1,-1,-2,1
1485545685933305,-2,-2,-3,-3,0,-2,-1,-2
1485545685933305,0,1,2,-2,1,1,-1,-3
1485545685954319,-2,1,3,-4,0,-2,0,0
1485545685954319,0,0,0,6,1,-1,-1,-5
1485545685955822,-3,0,-6,-6,-1,1,-2,-3
1485545685955822,-2,0,-2,-5,1,-2,-2,-1
1485545685968831,-1,-2,3,-4,-1,-2,1,0
1485545685968831,0,-3,-2,0,-3,-3,-3,-1
1485545685975334,-1,-2,-2,2,-2,-2,1,0
1485545685975334,-1,-3,1,1,-3,-3,-1,-2
1485545685991845,0,1,-1,-6,-1,-2,0,-1
1485545685991845,0,0,-1,0,2,-1,2,-2
1485545685993346,-1,-2,-2,5,-2,-1,-4,-1
1485545685993346,-1,-2,-1,-2,0,0,0,-3
1485545686014367,-2,0,-2,4,-1,-1,-1,1
1485545686014367,2,-3,0,-5,-2,1,-1,1
1485545686015863,-2,-3,1,1,0,-1,-3,0
1485545686015863,-1,0,-3,-2,2,0,-3,1
1485545686028361,0,-1,2,4,-2,2,0,-1
1485545686028361,-3,-2,-2,-10,3,-1,2,-3
1485545686035376,2,-1,-1,-1,0,-1,-2,0
1485545686035376,0,-3,-1,-2,-2,-1,-3,0
1485545686051892,1,-1,-1,4,1,-2,2,0
1485545686051892,-1,-1,-3,-5,-2,-1,-2,0
1485545686053389,-2,0,-4,-4,-1,0,1,0
1485545686053389,0,1,1,-2,-3,0,-1,0
1485545686074444,-2,-3,0,-3,0,-2,0,-1
1485545686074444,-2,-3,0,-4,-1,-1,-2,0
1485545686075905,-2,-3,-2,11,0,-2,2,1
1485545686075905,0,0,-1,-3,-2,-2,-3,-2
1485545686087903,1,-1,-1,-2,-1,0,-2,-1
1485545686087903,3,1,4,2,-4,0,0,-1
1485545686096920,-2,-1,-1,-6,4,3,-1,-1
1485545686096920,-2,-1,-3,3,-4,0,-2,-2
1485545686111920,1,-1,-2,-2,1,-1,0,-1
1485545686111920,-2,-1,0,-2,0,0,-2,1
1485545686113448,-3,-1,3,-4,-3,0,-1,-1
1485545686113448,2,2,1,-3,-1,1,2,-2
1485545686133945,-4,-3,-5,-3,-2,-2,-4,-2
1485545686133945,1,-1,-6,0,-2,-2,-1,-1
1485545686135947,0,-1,2,0,0,-3,-1,0
1485545686135947,-3,-1,2,-9,-2,2,1,0
1485545686147957,2,-1,-1,2,1,0,1,-2
1485545686147957,-3,-1,2,9,-2,-3,-5,-2
1485545686157468,4,2,1,-8,-3,-1,0,-2
1485545686157468,-1,4,0,5,1,-3,-3,0
1485545686171973,-4,-2,-5,0,-2,1,0,-2
1485545686171973,0,0,-3,-18,-2,-1,-1,0
1485545686177978,-1,1,-1,7,-1,0,-1,-2
1485545686177978,-1,-4,3,-3,-1,-1,0,-1
1485545686193988,1,0,-2,-2,0,-3,-1,3
1485545686193988,-3,-1,8,-5,-1,2,0,-2
1485545686195990,-2,0,0,8,-1,-1,-1,-1
1485545686195990,-2,-1,-4,0,-1,-1,-1,-1
1485545686207998,1,0,0,-2,-3,-2,-2,1
1485545686207998,2,2,-3,-5,-2,-2,-1,1
1485545686216995,-1,-2,-2,-4,0,-3,0,-2
1485545686216995,-2,-1,-3,6,1,1,0,-2
1485545686231514,-1,-1,3,1,-4,-1,-1,1
1485545686231514,-1,0,0,2,-2,0,0,-1
1485545686233516,1,0,1,0,-2,0,1,0
1485545686233516,-1,-1,0,1,2,-1,0,3
1485545686254030,0,-1,-5,-4,-3,-1,-1,-1
1485545686254030,-4,-1,0,-1,-2,-2,-1,-2
1485545686256045,-2,-1,-5,-2,0,-1,-1,-1
1485545686256045,-2,-1,-1,-6,-2,0,-1,-2
1485545686268049,-4,3,-2,18,1,-4,-1,-1
1485545686268049,2,1,-2,-1,1,0,-2,0
1485545686277046,-4,-2,1,-2,1,-1,0,-2
1485545686277046,1,-1,0,8,-1,0,-3,-1
1485545686291547,1,-1,-1,-11,-3,-1,-1,-1
1485545686291547,0,-3,-2,3,4,-1,1,0
1485545686293047,0,-3,0,-2,-4,-1,-2,0
1485545686293047,0,-2,0,2,2,-1,-1,-4
1485545686314062,2,-1,4,-5,-1,-1,0,-1
1485545686314062,-3,-1,-1,2,-1,-2,0,0
1485545686315563,0,-1,-3,-5,-2,3,0,1
1485545686315563,0,-2,-3,0,-4,-3,-1,-1
1485545686328072,-1,0,-2,-3,-1,-2,-1,-2
1485545686328072,4,-2,2,-6,0,-3,0,-1
1485545686337078,-1,-1,-5,0,3,-1,-4,-1
1485545686337078,-2,1,1,-1,-2,0,1,-3
1485545686351588,-4,-2,2,0,-1,-2,-1,-2
1485545686351588,1,1,0,1,-1,0,-1,0
1485545686353610,1,-2,3,-1,0,-2,0,0
1485545686353610,2,0,-4,-9,-2,-2,-1,1
1485545686374104,1,-1,0,-1,0,3,-1,-1
1485545686374104,-2,-2,-3,1,-5,-2,-1,-1
1485545686375605,1,-1,2,0,-2,1,2,0
1485545686375605,-1,2,-4,-4,-3,-1,1,-1
1485545686387614,-2,-2,5,3,0,1,-4,-2
1485545686387614,0,-1,-8,-2,2,2,0,-3
1485545686396621,1,2,1,3,-3,-4,-2,-2
1485545686396621,0,-4,2,-4,-2,0,0,0
1485545686411632,-2,0,-5,1,-3,-1,-1,-3
1485545686411632,-4,-1,-3,3,-2,-1,-1,1
1485545686413133,0,0,-3,-4,0,-2,1,-1
1485545686413133,-1,-2,0,1,1,-3,0,-1
1485545686434148,2,-3,0,-2,2,0,-1,1
1485545686434148,-2,-1,-2,-3,3,-3,-2,-1
1485545686435648,-3,1,-1,2,-1,0,-3,-2
1485545686435648,1,1,2,8,1,-1,-1,1
1485545686447657,0,-2,-9,0,0,1,-1,-1
1485545686447657,-2,1,7,3,-1,1,-1,-1
1485545686456664,1,-2,0,-4,-1,-1,-1,-2
1485545686456664,-3,-4,5,-5,-2,0,-2,-1
1485545686471673,-3,-3,-3,11,-2,-3,-2,-3
1485545686471673,1,0,-2,-7,-3,-1,1,-1
1485545686473174,0,0,-4,7,-2,-2,0,1
1485545686473174,1,-3,0,0,3,-1,-2,-2
1485545686494190,0,3,3,-3,-2,0,0,1
1485545686494190,-3,-1,3,-2,-3,-2,-1,-1
1485545686495691,-1,-2,3,-6,-3,2,-1,0
1485545686495691,-1,0,-4,3,-1,-3,1,-1
1485545686516798,2,-2,-2,-3,3,-1,0,1
1485545686516798,2,-1,-3,-1,-1,3,-1,-3
1485545686518299,0,2,-3,-4,-3,-1,0,1
1485545686518299,-1,1,0,0,-1,-1,-1,0
1485545686531821,-4,1,0,-5,1,0,2,0
1485545686531821,1,-4,0,16,0,-1,-1,0
1485545686533322,0,2,-3,3,2,-2,-1,-2
1485545686533322,-3,0,-3,2,-5,4,2,1
1485545686554334,0,0,-1,-19,0,-1,-1,-1
1485545686554334,-3,-2,0,0,1,0,0,-2
1485545686555835,1,-1,2,-1,1,0,-2,-1
1485545686555835,3,-1,-2,-1,0,-2,-2,1
1485545686576850,0,-2,-1,4,-3,-1,0,0
1485545686576850,-1,1,-2,-6,-3,-2,0,0
1485545686578341,-3,-3,-1,-2,0,0,0,-2
1485545686578341,-2,1,-1,13,0,-2,-1,-2
1485545686591852,-1,-3,-1,2,-1,-1,0,-2
1485545686591852,0,1,-3,-10,-1,-2,-1,2
1485545686593352,-1,-1,-2,-2,-2,-2,-2,0
1485545686593352,-1,-3,0,1,1,0,-1,-4
1485545686614368,1,1,3,1,-1,-1,0,0
1485545686614368,2,-1,4,-1,-3,-1,0,-1
1485545686615868,0,0,-1,-1,-2,-1,1,0
1485545686615868,-1,0,-2,-7,-2,-2,0,-1
1485545686636889,-4,-3,-1,-1,-1,-1,-3,-1
1485545686636889,-1,-2,1,-3,0,0,1,0
1485545686638385,-1,-2,-1,-1,1,-1,-2,0
1485545686638385,0,2,-1,-3,0,-1,1,-1
1485545686650893,1,-2,-1,1,-3,-2,0,0
1485545686650893,-1,3,-2,1,1,1,-2,0
1485545686657898,-4,1,-4,-1,-3,-1,0,-2
1485545686657898,1,0,-1,-7,-2,0,-1,-2
1485545686672909,-6,0,-2,-5,0,1,1,0
1485545686672909,0,-1,3,-1,-2,-2,-1,0
1485545686681914,-1,0,0,4,-1,0,-1,0
1485545686681914,-2,0,-1,-3,-2,0,-1,1
1485545686696925,1,0,3,-11,2,-1,-1,-1
1485545686696925,0,0,-4,2,-3,0,-1,-3
1485545686698426,0,1,-1,-1,-1,-2,-2,-2
1485545686698426,-1,-3,1,0,3,1,0,-1
1485545686718940,1,-1,-10,5,-2,0,1,-1
1485545686718940,0,2,1,3,1,-3,0,-2
1485545686720942,0,0,0,-3,-2,0,-1,-1
1485545686720942,-3,-2,-1,-2,-2,-1,-3,-2
1485545686732963,-1,-1,2,3,-2,0,-2,-3
1485545686732963,-2,-4,0,-5,-1,-2,-2,0
1485545686741969,3,-3,-1,0,2,1,2,-3
1485545686741969,-1,-2,-1,-3,-1,1,1,0
1485545686756479,0,3,2,2,-3,-3,-1,1
1485545686756479,-1,-3,0,0,1,-2,-2,-1
1485545686758480,0,0,2,-3,-3,-3,-2,2
1485545686758480,1,1,-2,-2,0,-1,-2,-2
1485545686778997,0,0,-6,-5,0,-4,-3,-1
1485545686778997,-3,-4,1,8,-2,-1,-1,-2
1485545686780984,-1,-1,-4,3,-2,0,1,-1
1485545686780984,-3,-1,-1,-8,0,-2,0,0
1485545686793009,-1,-4,0,5,2,1,-1,-1
1485545686793009,-1,2,4,-7,-2,-2,1,-1
1485545686802016,-2,-2,1,3,1,-1,0,-2
1485545686802016,0,-1,-3,2,-4,-1,1,-1
1485545686816521,-3,-1,-4,-5,0,0,-2,-3
1485545686816521,-3,-3,-3,-4,0,1,-4,0
1485545686818011,0,-2,5,2,-1,-2,-2,-1
1485545686818011,1,1,3,-1,-1,-3,-1,0
1485545686839038,-2,-1,0,2,-2,1,-1,0
1485545686839038,1,0,-3,-4,1,0,0,-1
1485545686841037,0,-1,-1,-7,-1,1,0,-1
1485545686841037,-1,-3,-5,15,-2,0,-1,-1
1485545686853047,2,-1,2,-3,-2,-5,0,0
1485545686853047,-3,1,1,6,0,-4,-2,-2
1485545686862056,0,-1,-4,-10,0,-3,0,1
1485545686862056,-1,0,0,-1,0,-1,-1,-1
1485545686876564,-2,-3,0,2,0,0,-1,-1
1485545686876564,-1,0,-4,1,-3,2,-1,2
1485545686878054,0,2,2,2,-1,1,0,-2
1485545686878054,-3,-2,-1,-10,1,-3,0,0
1485545686899080,0,1,-3,-4,-1,-1,0,0
1485545686899080,0,0,-1,-5,-4,0,0,-1
1485545686901068,-1,1,0,-3,-2,-1,-2,-2
1485545686901068,-3,1,-1,-4,0,-3,-1,-3
1485545686912587,1,-1,3,1,-3,2,0,-1
1485545686912587,-1,-3,-5,-2,0,1,3,-1
1485545686922084,-1,-4,-1,-1,-1,-1,-2,-1
1485545686922084,2,1,3,-2,-2,-1,-2,-1
1485545686944139,-4,0,-2,-3,-2,-2,0,0
1485545686944139,-3,-2,0,0,1,0,0,-4
1485545686945642,-1,1,0,3,-1,1,0,0
1485545686945642,3,-2,-4,-1,-1,0,-3,0
1485545686959150,2,-3,1,-1,0,-4,0,-1
1485545686959150,-1,1,-5,0,1,-3,-1,-1
1485545686960661,-3,0,0,-6,1,0,1,0
1485545686960661,0,-3,0,0,-1,0,1,2
1485545686972670,0,0,-4,-2,-2,-1,0,-1
1485545686972670,0,3,-1,-1,-2,0,-2,0
1485545686981681,0,-3,0,-3,-1,-2,-2,-1
1485545686981681,-3,0,2,-1,1,1,2,0
1485545686996692,-2,-2,0,-2,-2,-2,1,-2
1485545686996692,1,0,0,-1,-1,-2,1,0
1485545686998178,1,1,1,0,-1,-3,-2,-2
1485545686998178,-2,-1,-1,1,-3,-1,-1,-1
1485545687019193,0,-3,-6,-3,-1,1,-4,-1
1485545687019193,2,-1,2,-9,0,0,0,-1
1485545687020694,-4,-2,-1,15,1,-2,0,-2
1485545687020694,-2,-1,-2,-4,-3,-3,-1,0
1485545687041721,0,-3,2,-2,-2,0,-1,-1
1485545687041721,0,-3,0,-2,1,-1,-3,-1
1485545687043222,1,-1,-2,-4,-2,-2,-1,1
1485545687043222,1,-1,-1,2,-3,1,-2,0
1485545687056732,-2,1,-3,6,2,0,-2,0
1485545687056732,0,1,-1,-6,-4,-2,0,-2
1485545687058221,-2,-1,2,-1,-2,1,1,0
1485545687058221,-2,1,-2,-3,-2,-1,-2,-3
1485545687079247,-2,-2,-1,13,1,-2,-3,-2
1485545687079247,1,-2,4,-3,-1,0,-2,2
1485545687080749,-1,1,0,-2,-2,-1,-1,0
1485545687080749,0,-1,-5,-2,-2,1,1,-1
1485545687101764,-1,1,2,-4,0,-2,0,-1
1485545687101764,-1,-2,0,3,-2,-1,0,0
1485545687103264,0,2,1,-1,-1,1,-1,-1
1485545687103264,-2,-1,2,2,2,-5,-1,-1
1485545687116762,1,2,-1,-3,-2,0,-1,-2
1485545687116762,-2,-3,0,2,-1,-2,-1,1
1485545687118262,0,1,-2,-11,-1,-2,-2,-2
1485545687118262,-1,0,-3,3,-1,0,-2,-2
1485545687139289,-2,-4,-11,-7,-2,0,2,-1
1485545687139289,0,2,-1,-1,-1,-2,-1,0
1485545687140791,1,-2,2,-4,-2,0,-1,0
1485545687140791,0,-1,-1,-3,-2,-1,-1,0
1485545687161806,0,-3,2,-3,-1,-1,-1,0
1485545687161806,-3,-2,-2,0,-2,-1,-2,-1
1485545687163306,-1,0,-2,2,2,0,0,-2
1485545687163306,-1,-2,-3,5,-1,-1,-1,-1
1485545687175816,-1,2,4,-1,0,-1,1,-1
1485545687175816,3,1,-2,-1,-1,-2,-2,-2
1485545687182825,-1,-1,1,-5,1,1,2,1
1485545687182825,0,-1,-1,-7,0,0,0,0
1485545687199332,0,0,1,0,-2,-2,-1,-2
1485545687199332,1,-1,-3,-6,-2,-1,1,-1
1485545687200831,-1,-5,0,1,-2,-1,-1,-1
1485545687200831,-3,0,-5,-7,-2,-1,-1,-1
1485545687221854,-1,-2,2,4,1,-1,-1,0
1485545687221854,-1,-1,-2,0,1,-1,0,0
1485545687223347,0,0,-2,-3,-2,-2,-1,-1
1485545687223347,0,-2,-2,1,-2,0,1,-4
1485545687235887,1,0,1,3,0,2,-1,-1
