timestamp,x,y,z
1485545685405154,8.25,-3.5625,-1.3125
1485545685428183,13.5625,-7.125,-0.8125
1485545685443180,15.375,-0.5,-1.625
1485545685468211,3.625,-1.375,2.6875
1485545685488245,4.0625,-0.75,1.3125
1485545685502756,2.0625,-1.4375,1.6875
1485545685528053,3.5625,-1.8125,2.5625
1485545685580099,6.875,-0.75,1.625
1485545685581095,4.5,-0.3125,1.75
1485545685591114,-1.125,0.625,-0.125
1485545685608141,-6.75,-0.4375,2.0625
1485545685624135,-3.75,-0.875,1.3125
1485545685655170,1.125,0.4375,0.5625
1485545685690221,0.9375,2.875,0.375
1485545685700709,-2,4.5,-0.0625
1485545685706129,-5.25,3.0625,0.625
1485545685728151,-3.5625,1.5,-1.1875
1485545685744158,-5.125,1.125,-1.4375
1485545685775168,-0.75,1,-0.8125
1485545685789706,-0.625,1.6875,0.25
1485545685812731,0.1875,2.25,0.125
1485545685834738,-0.125,1.5,0.4375
1485545685849248,1.125,-0.1875,-0.25
1485545685872252,2.3125,0,0.125
1485545685894778,1.4375,-0.1875,0.375
1485545685909293,0.8125,0.125,-1.25
1485545685932304,0.6875,0.125,-0.9375
1485545685954818,-1.875,0.1875,-0.75
1485545685969335,-3.5,-0.25,-0.9375
1485545685992346,-1,-0.1875,-1.5
1485545686014861,0.0625,-0.0625,-1.5
1485545686029372,1.5625,-0.75,-0.9375
1485545686052388,1.625,-0.25,0.25
1485545686074909,1.1875,-0.0625,0.75
1485545686095919,0.6875,-0.625,0.5
1485545686112430,2.75,-0.4375,-0.1875
1485545686134947,4.375,-0.25,-0.75
1485545686156962,4.25,-0.3125,-1
1485545686172974,1.875,-1.5625,-0.9375
1485545686194994,-4.4375,-1,-0.1875
1485545686216003,-3.6875,-0.875,0.4375
1485545686232515,-0.9375,-0.8125,0.125
1485545686255031,1.25,-0.8125,0.125
1485545686276036,1.8125,-0.9375,0.125
1485545686292547,2,-1.125,0.4375
1485545686315063,0.875,-0.6875,0.375
1485545686336078,-1.375,-0.875,0.375
1485545686352589,-2,-1.125,0.3125
1485545686375105,-1.875,-1.0625,0.6875
1485545686396120,-0.25,-1,0.75
1485545686412632,-1.1875,-1.25,0.625
1485545686435148,-5,-1.375,0.0625
1485545686456163,-4.9375,-0.75,-0.1875
1485545686472674,-2.8125,-0.375,0.5
1485545686495193,0.3125,-0.3125,1.3125
1485545686517299,0.75,-0.5,1.5625
1485545686532321,0,-0.5,1
1485545686554824,-0.3125,-0.8125,0.4375
1485545686577350,-2.6875,-0.3125,-0.5625
1485545686592352,-1.4375,-0.1875,-0.125
1485545686614868,1.9375,-0.25,0.25
1485545686637384,1.625,-0.4375,0.25
1485545686651894,-0.4375,-0.5,0.3125
1485545686680913,-0.4375,-0.6875,0.375
1485545686697425,-0.75,0,0.125
1485545686719941,-0.9375,0.4375,0.6875
1485545686740969,-0.8125,-0.0625,0.8125
1485545686757480,-0.375,-0.25,0.1875
1485545686779995,0.625,0.0625,0.25
1485545686801028,0.875,-0.1875,0.1875
1485545686817522,-0.8125,-0.3125,0.125
1485545686840025,-1,-0.1875,-0.1875
1485545686861053,-1.125,-0.3125,0.4375
1485545686877564,-0.0625,-0.3125,0.4375
1485545686900069,2.3125,-0.25,0.375
1485545686921092,1.5625,-0.375,0.4375
1485545686945141,1.0625,0.125,0.5
1485545686960162,1.25,0.4375,0.4375
1485545686981182,2.375,0.375,0.25
1485545686997688,1.75,0.5625,0.4375
1485545687020193,0.4375,0.375,0.4375
1485545687042719,0.5,-0.5625,0.375
1485545687057729,-0.625,-0.625,0.4375
1485545687079735,-2.125,-0.0625,0.0625
1485545687102274,-1.875,-0.5,0.4375
1485545687117262,0.375,0.125,0.3125
1485545687139779,2.75,0,0.4375
1485545687162306,1.9375,-0.0625,0.4375
1485545687176821,2.1875,-0.0625,0.1875
1485545687199833,1.875,-0.0625,0.375
1485545687222336,1.0625,0.25,0
1485545687236856,1.6875,0.5,-0.1875
1485545687259874,2.75,0.5,-0.125
1485545687282388,4.0625,0.5,-0.0625
1485545687296900,2.1875,0.5,0.5
1485545687319920,1.6875,0.3125,0.25
1485545687342434,1.25,-0.125,0.3125
1485545687356941,-1.4375,-0.0625,0.625
1485545687379957,-2,-0.25,0.625
1485545687402464,-0.9375,-0.25,0.6875
1485545687416974,-0.75,-0.4375,0.75
1485545687439990,-1.3125,-0.4375,0.5625
1485545687462506,-0.375,-0.5,0.5
1485545687477015,-0.375,-0.1875,0.4375
1485545687500033,0,0.125,0.4375
