timestamp,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1485545685405154,0.00703276,0.122482,0.781967,8.25,-3.5625,-1.3125,-0.114746,0.0107422,0.994629
1485545685428183,0.0113133,0.119123,0.781597,13.5625,-7.125,-0.8125,-0.0844727,-0.0078125,0.983398
1485545685443180,0.018376,0.118987,0.781239,15.375,-0.5,-1.625,-0.118652,0.0883789,0.986816
1485545685468211,0.0203865,0.118571,0.782272,3.625,-1.375,2.6875,-0.125,0.0454102,1.00928
1485545685488245,0.0223069,0.118982,0.782827,4.0625,-0.75,1.3125,-0.146973,0.0439453,0.998535
1485545685502756,0.0229058,0.11874,0.783372,2.0625,-1.4375,1.6875,-0.130859,0.0102539,1.00391
1485545685528053,0.0240857,0.118266,0.784236,3.5625,-1.8125,2.5625,-0.125488,0.0180664,0.991699
1485545685580099,0.0270539,0.117974,0.78494,6.875,-0.75,1.625,-0.116699,0.0483398,0.998535
1485545685581095,0.0295028,0.118027,0.78563,4.5,-0.3125,1.75,-0.125488,0.0620117,1.00537
1485545685591114,0.0298713,0.118274,0.785669,-1.125,0.625,-0.125,-0.120605,0.0581055,1.01318
1485545685608141,0.0274432,0.118357,0.786429,-6.75,-0.4375,2.0625,-0.128418,0.0229492,0.988281
1485545685624135,0.0258968,0.118078,0.786858,-3.75,-0.875,1.3125,-0.121094,0.0112305,0.98877
1485545685655170,0.0261319,0.117978,0.786982,1.125,0.4375,0.5625,-0.106934,0.0180664,0.992188
1485545685690221,0.0265378,0.118605,0.787157,0.9375,2.875,0.375,-0.105957,0.0302734,1.00439
1485545685700709,0.0262473,0.120454,0.78724,-2,4.5,-0.0625,-0.128418,0.0444336,1.00244
1485545685706129,0.0247258,0.12215,0.7876,-5.25,3.0625,0.625,-0.149414,0.0307617,0.996582
1485545685728151,0.0233912,0.122823,0.787106,-3.5625,1.5,-1.1875,-0.132813,0.0258789,1.00537
1485545685744158,0.0219112,0.12317,0.78665,-5.125,1.125,-1.4375,-0.118164,0.0332031,0.989746
1485545685775168,0.021677,0.123262,0.786493,-0.75,1,-0.8125,-0.109375,0.0234375,0.989746
1485545685789706,0.0212238,0.12345,0.786472,-0.625,1.6875,0.25,-0.109863,0.012207,0.992676
1485545685812731,0.0211031,0.124424,0.786483,0.1875,2.25,0.125,-0.128418,0.0136719,0.992188
1485545685834738,0.0208278,0.125341,0.78666,-0.125,1.5,0.4375,-0.141602,0.0102539,0.990723
1485545685849248,0.020962,0.12568,0.786542,1.125,-0.1875,-0.25,-0.144043,0.00878906,1
1485545685872252,0.02185,0.125578,0.786599,2.3125,0,0.125,-0.121094,0.0224609,1.00293
1485545685894778,0.022568,0.125677,0.786768,1.4375,-0.1875,0.375,-0.133301,0.03125,0.991211
1485545685909293,0.0228629,0.125821,0.786425,0.8125,0.125,-1.25,-0.129883,0.0283203,0.994629
1485545685932304,0.0229763,0.125774,0.786431,0.6875,0.125,-0.9375,-0.122559,0.0361328,0.999512
1485545685954818,0.0226021,0.126185,0.786135,-1.875,0.1875,-0.75,-0.137207,0.0341797,0.999023
1485545685969335,0.0210356,0.126299,0.785771,-3.5,-0.25,-0.9375,-0.13623,0.00732422,0.989746
1485545685992346,0.0203872,0.126428,0.785214,-1,-0.1875,-1.5,-0.132324,0.00927734,0.996094
1485545686014861,0.0202414,0.126475,0.784656,0.0625,-0.0625,-1.5,-0.127441,0.0170898,0.991699
1485545686029372,0.021018,0.126151,0.784434,1.5625,-0.75,-0.9375,-0.126953,0.0341797,0.997559
1485545686052388,0.0216322,0.126031,0.784471,1.625,-0.25,0.25,-0.124512,0.0244141,1.00195
1485545686074909,0.021857,0.126206,0.784755,1.1875,-0.0625,0.75,-0.13623,0.0126953,1.00049
1485545686095919,0.0219042,0.12632,0.784765,0.6875,-0.625,0.5,-0.133301,0.012207,0.995605
1485545686112430,0.022509,0.126205,0.784688,2.75,-0.4375,-0.1875,-0.129883,0.00732422,0.98877
1485545686134947,0.0239676,0.12626,0.784391,4.375,-0.25,-0.75,-0.131348,0.0239258,1.00195
1485545686156962,0.0258797,0.126128,0.784116,4.25,-0.3125,-1,-0.126953,0.0444336,1.00439
1485545686172974,0.0271573,0.125731,0.783927,1.875,-1.5625,-0.9375,-0.131836,0.0541992,1.01563
1485545686194994,0.0259669,0.125425,0.783823,-4.4375,-1,-0.1875,-0.127441,0.0390625,0.992188
1485545686216003,0.0243872,0.125414,0.783968,-3.6875,-0.875,0.4375,-0.137695,0.0126953,0.990723
1485545686232515,0.0242738,0.125461,0.783963,-0.9375,-0.8125,0.125,-0.132324,0.00683594,0.990234
1485545686255031,0.0245668,0.125207,0.783969,1.25,-0.8125,0.125,-0.12793,0.0161133,0.993164
1485545686276036,0.0252456,0.124934,0.784035,1.8125,-0.9375,0.125,-0.125488,0.0253906,0.996582
1485545686292547,0.0261618,0.124553,0.784192,2,-1.125,0.4375,-0.125977,0.0371094,1.00195
1485545686315063,0.0263224,0.12462,0.784207,0.875,-0.6875,0.375,-0.131348,0.0419922,0.997559
1485545686336078,0.0260561,0.124601,0.784333,-1.375,-0.875,0.375,-0.135742,0.0366211,1.00244
1485545686352589,0.0255439,0.124283,0.784537,-2,-1.125,0.3125,-0.128906,0.0302734,0.994141
1485545686375105,0.0249169,0.12402,0.78477,-1.875,-1.0625,0.6875,-0.129883,0.0239258,0.987305
1485545686396120,0.0249641,0.124133,0.784779,-0.25,-1,0.75,-0.129883,0.0292969,1
1485545686412632,0.0251131,0.123808,0.785031,-1.1875,-1.25,0.625,-0.129883,0.0493164,1.00146
1485545686435148,0.0236093,0.12337,0.785046,-5,-1.375,0.0625,-0.125977,0.03125,0.992676
1485545686456163,0.0216523,0.123121,0.785042,-4.9375,-0.75,-0.1875,-0.121094,0.012207,0.99707
1485545686472674,0.0205261,0.122925,0.785213,-2.8125,-0.375,0.5,-0.121094,0.0102539,0.995117
1485545686495193,0.020503,0.122809,0.78561,0.3125,-0.3125,1.3125,-0.122559,0.0136719,0.99707
1485545686517299,0.0207629,0.122707,0.786141,0.75,-0.5,1.5625,-0.125,0.0200195,0.996094
1485545686532321,0.0209663,0.122497,0.786548,0,-0.5,1,-0.123047,0.0234375,0.995605
1485545686554824,0.0209663,0.122497,0.786548,-0.3125,-0.8125,0.4375,-0.123535,0.0351563,0.999023
1485545686577350,0.0201355,0.122445,0.786376,-2.6875,-0.3125,-0.5625,-0.123535,0.0209961,0.992676
1485545686592352,0.0193611,0.1225,0.786326,-1.4375,-0.1875,-0.125,-0.128906,0.00878906,0.993652
1485545686614868,0.0200695,0.122605,0.78638,1.9375,-0.25,0.25,-0.128418,0.0229492,0.995117
1485545686637384,0.0208058,0.122431,0.786534,1.625,-0.4375,0.25,-0.124023,0.0249023,1.00098
1485545686651894,0.0208058,0.122431,0.786534,-0.4375,-0.5,0.3125,-0.125488,0.0273438,0.998047
1485545686680913,0.0208058,0.122431,0.786534,-0.4375,-0.6875,0.375,-0.119141,0.0292969,0.996094
1485545686697425,0.0208058,0.122431,0.786534,-0.75,0,0.125,-0.123047,0.0195313,0.99707
1485545686719941,0.0208058,0.122431,0.786534,-0.9375,0.4375,0.6875,-0.125977,0.0234375,0.993652
1485545686740969,0.0208058,0.122431,0.786534,-0.8125,-0.0625,0.8125,-0.127441,0.0107422,0.999512
1485545686757480,0.0208058,0.122431,0.786534,-0.375,-0.25,0.1875,-0.126465,0.0166016,1.00098
1485545686779995,0.0208058,0.122431,0.786534,0.625,0.0625,0.25,-0.124512,0.0209961,1.00488
1485545686801028,0.0208058,0.122431,0.786534,0.875,-0.1875,0.1875,-0.121094,0.0214844,0.997559
1485545686817522,0.020853,0.122544,0.786543,-0.8125,-0.3125,0.125,-0.129883,0.0341797,0.994141
1485545686840025,0.020853,0.122544,0.786543,-1,-0.1875,-0.1875,-0.128418,0.0205078,0.990723
1485545686861053,0.02036,0.122621,0.786659,-1.125,-0.3125,0.4375,-0.126953,0.0161133,0.995605
1485545686877564,0.02036,0.122621,0.786659,-0.0625,-0.3125,0.4375,-0.126953,0.0117188,0.990723
1485545686900069,0.0211817,0.122679,0.786719,2.3125,-0.25,0.375,-0.132324,0.0200195,0.998047
1485545686921092,0.0218519,0.122665,0.786878,1.5625,-0.375,0.4375,-0.124512,0.0263672,1.00244
1485545686945141,0.0222068,0.122527,0.787187,1.0625,0.125,0.5,-0.118652,0.019043,0.99707
1485545686960162,0.0225845,0.122768,0.787339,1.25,0.4375,0.4375,-0.125,0.019043,0.995605
1485545686981182,0.0233403,0.122986,0.787404,2.375,0.375,0.25,-0.125488,0.0209961,0.997559
1485545686997688,0.0239446,0.123132,0.787567,1.75,0.5625,0.4375,-0.123047,0.0249023,0.995605
1485545687020193,0.0241053,0.123199,0.787582,0.4375,0.375,0.4375,-0.133789,0.0371094,1.00098
1485545687042719,0.0241053,0.123199,0.787582,0.5,-0.5625,0.375,-0.130371,0.0371094,0.99707
1485545687057729,0.0242186,0.123152,0.787588,-0.625,-0.625,0.4375,-0.125488,0.034668,1.00098
1485545687079735,0.0234441,0.123207,0.787536,-2.125,-0.0625,0.0625,-0.121582,0.0214844,0.996094
1485545687102274,0.02259,0.123039,0.78776,-1.875,-0.5,0.4375,-0.123535,0.0126953,0.999023
1485545687117262,0.0224294,0.122972,0.787745,0.375,0.125,0.3125,-0.12207,0.00878906,0.992676
1485545687139779,0.0234134,0.123089,0.787787,2.75,0,0.4375,-0.128906,0.0229492,0.991699
1485545687162306,0.0242902,0.123262,0.788004,1.9375,-0.0625,0.4375,-0.129883,0.027832,0.995605
1485545687176821,0.0250003,0.123359,0.788027,2.1875,-0.0625,0.1875,-0.129395,0.0253906,1.00098
1485545687199833,0.0258297,0.123419,0.788235,1.875,-0.0625,0.375,-0.126953,0.0283203,0.998535
