timestamp,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1482545586721222,-0.434697,-0.118037,-1.45819,-5.1875,6.9375,-2.4375,0.0947266,-0.376465,0.915527
1482545586746241,-0.438142,-0.116746,-1.45992,-8.5625,4.0625,-3.3125,0.097168,-0.446289,0.894531
1482545586761252,-0.439085,-0.116237,-1.46099,-0.125,4.0625,-2.1875,0.134277,-0.457031,0.867676
1482545586781265,-0.436203,-0.115478,-1.46105,9.375,0.75,0,0.097168,-0.446289,0.927734
1482545586806288,-0.428725,-0.113977,-1.46246,22.0625,3.1875,-3.1875,0.0717773,-0.422852,0.886719
1482545586826302,-0.42573,-0.114289,-1.4625,9.3125,-2.4375,-1.4375,0.0898438,-0.436035,0.925781
1482545586841313,-0.420027,-0.117204,-1.46345,13.8125,-4.5625,-4.5625,0.154785,-0.385742,0.940918
1482545586898380,-0.416485,-0.119628,-1.46464,10,-4.75,-5.9375,0.120117,-0.405762,0.912598
1482545586899381,-0.414472,-0.123077,-1.46638,8.0625,-7,-8.625,0.124512,-0.443848,0.904297
1482545586904139,-0.408821,-0.126324,-1.46771,19.125,-5.8125,-7.375,0.14502,-0.452148,0.915527
1482545586926152,-0.399214,-0.12807,-1.46882,26.4375,-6.1875,-6.25,0.0888672,-0.389648,0.944336
1482545586947154,-0.388392,-0.130744,-1.46956,24.8125,-9.5625,-5.125,0.0825195,-0.299316,0.95459
1482545586998693,-0.382625,-0.134801,-1.46888,10.25,-13.125,-2.1875,0.118164,-0.283203,0.96582
1482545587008713,-0.384791,-0.139467,-1.46645,-7.9375,-17.8125,0.4375,0.101074,-0.361328,0.985352
1482545587009714,-0.386664,-0.146347,-1.46539,-6.6875,-20.9375,-4.875,0.131348,-0.36377,0.958008
1482545587022736,-0.388831,-0.154403,-1.46406,-6.625,-23.125,-5.25,0.154785,-0.373047,0.955566
1482545587043738,-0.393814,-0.164209,-1.46397,-11.8125,-25.125,-10.9375,0.179688,-0.428711,0.927734
1482545587065767,-0.399467,-0.174122,-1.46412,-10.4375,-25.4375,-11.875,0.182617,-0.465332,0.897461
1482545587082766,-0.400124,-0.184146,-1.46654,2.75,-22.4375,-17.875,0.207031,-0.478027,0.904297
1482545587103286,-0.394672,-0.192871,-1.47034,12.4375,-16.6875,-18.4375,0.239258,-0.38623,0.967773
1482545587126325,-0.385825,-0.20235,-1.47768,21,-14.8125,-28.8125,0.234863,-0.363281,0.896484
1482545587142335,-0.375168,-0.21255,-1.48486,33.125,-20.1875,-31.375,0.192383,-0.451172,0.866699
1482545587163350,-0.356599,-0.224888,-1.49027,51.25,-24.625,-25.5,0.288086,-0.384277,0.97998
1482545587186366,-0.337488,-0.234805,-1.49179,50.625,-18.9375,-10.9375,0.304688,-0.240234,0.828125
1482545587202880,-0.331774,-0.244108,-1.48913,12.375,-21.6875,1.75,0.32373,-0.209473,0.86377
1482545587223896,-0.334336,-0.254079,-1.48124,3.1875,-27,12.625,0.346191,-0.37207,0.846191
1482545587245924,-0.328594,-0.261803,-1.46731,35.8125,-24.5625,29.8125,0.363281,-0.415039,0.799316
1482545587262936,-0.313694,-0.268745,-1.45113,60.0625,-22.75,38.125,0.387695,-0.341309,0.800781
1482545587283939,-0.298615,-0.272459,-1.43139,60.4375,-18.6875,50.1875,0.360352,-0.287109,0.811523
1482545587306000,-0.287522,-0.272817,-1.40961,47.3125,-17.375,57.9375,0.267578,-0.23877,0.867188
1482545587324001,-0.285809,-0.274301,-1.38792,21.375,-22.875,55.875,0.239258,-0.260254,0.914063
1482545587347016,-0.289604,-0.277829,-1.36576,10.0625,-27.3125,54.3125,0.271973,-0.335449,0.928711
1482545587366030,-0.291495,-0.282518,-1.34118,16.25,-29.8125,61,0.311035,-0.307617,0.908203
1482545587384042,-0.291013,-0.285111,-1.31616,20.6875,-27.9375,64.125,0.27002,-0.263184,0.92334
1482545587404058,-0.293444,-0.28653,-1.29181,12.75,-28.625,61,0.196777,-0.276367,0.921387
1482545587426075,-0.302636,-0.288457,-1.26723,-5.4375,-30.5,61,0.199219,-0.301758,0.90918
1482545587444088,-0.312389,-0.290074,-1.24142,-4.9375,-28.5,64.3125,0.235352,-0.316406,0.887207
1482545587464103,-0.318239,-0.290534,-1.21586,6.5625,-24.0625,65.3125,0.261719,-0.328125,0.881348
1482545587486118,-0.323953,-0.289349,-1.19063,6.8125,-20.5625,65.5625,0.245605,-0.330078,0.870117
1482545587504133,-0.33105,-0.286243,-1.16387,4.4375,-18.25,70.375,0.213867,-0.342773,0.859863
1482545587523147,-0.334273,-0.2828,-1.13812,11.75,-16.5,69.1875,0.231934,-0.30957,0.879395
1482545587546164,-0.332736,-0.277751,-1.11634,15.5,-10.3125,61.5625,0.214844,-0.22998,0.936523
1482545587564177,-0.333027,-0.271664,-1.09822,5.9375,-7.75,52.375,0.162598,-0.216309,0.959473
1482545587583203,-0.339646,-0.267797,-1.08412,-15.0625,-8.6875,40.375,0.173828,-0.220703,0.938965
1482545587606238,-0.348833,-0.265321,-1.0724,-21.6875,-8.0625,32.5625,0.216309,-0.280273,0.953125
1482545587624261,-0.35435,-0.262125,-1.06181,-11.625,-4.4375,30.5,0.237305,-0.30957,0.987793
1482545587643264,-0.357776,-0.258397,-1.0514,-6.3125,-2.5625,31.125,0.242676,-0.311523,1.01025
1482545587666293,-0.361452,-0.254802,-1.04259,-10.6875,-0.875,27.1875,0.236816,-0.259277,0.951172
1482545587684306,-0.368604,-0.252428,-1.03746,-23.5,-0.5,17.3125,0.230957,-0.251953,0.925293
1482545587706337,-0.378406,-0.251216,-1.03481,-26.875,1.1875,8.5625,0.260254,-0.350586,0.916016
1482545587726338,-0.387472,-0.249416,-1.0321,-20.3125,2.0625,7.8125,0.251953,-0.432617,0.90918
1482545587744352,-0.388436,-0.247148,-1.03106,1.8125,2.75,3.1875,0.213867,-0.432617,0.901367
1482545587763364,-0.386665,-0.244548,-1.02995,7.4375,3.1875,3.8125,0.196289,-0.389648,0.888184
1482545587786390,-0.386878,-0.241771,-1.02972,0.4375,6.625,3.375,0.226074,-0.366211,0.867676
1482545587804422,-0.392101,-0.237573,-1.02919,-13.625,10.1875,5.5,0.210449,-0.363281,0.835449
1482545587831459,-0.403051,-0.233298,-1.02869,-27.4375,9.9375,4.3125,0.191406,-0.393066,0.787109
1482545587846464,-0.413711,-0.22853,-1.02867,-28.25,11.375,4.5,0.19043,-0.391602,0.810547
1482545587864477,-0.419815,-0.223548,-1.02771,-15.0625,11.5625,7.75,0.206055,-0.411621,0.858887
1482545587888499,-0.422785,-0.219669,-1.02641,-7.125,9.4375,7.8125,0.223633,-0.401367,0.866211
1482545587906550,-0.425849,-0.217254,-1.02565,-6.625,8.9375,6.25,0.256836,-0.398926,0.820801
1482545587924544,-0.428134,-0.215219,-1.02586,-6.6875,10.8125,4.1875,0.281738,-0.374023,0.818359
1482545587945573,-0.432137,-0.213284,-1.02697,-12.8125,12.125,2.3125,0.28418,-0.365723,0.820313
1482545587966592,-0.444245,-0.212093,-1.02914,-33.875,13.6875,-1,0.317871,-0.410156,0.784668
1482545587982586,-0.462157,-0.209655,-1.03313,-48.625,19.75,-3.8125,0.320801,-0.456055,0.760742
1482545588005633,-0.47512,-0.203023,-1.0383,-41.9375,28,-1.5625,0.272461,-0.411621,0.853516
1482545588028667,-0.484835,-0.196451,-1.04229,-36.9375,24.25,1.1875,0.246094,-0.378906,0.924316
1482545588042677,-0.497312,-0.191677,-1.04634,-45.25,20.4375,-0.0625,0.253418,-0.379883,0.918457
1482545588065676,-0.511535,-0.187384,-1.05082,-46.0625,20.0625,-2.9375,0.250977,-0.462402,0.90918
1482545588088693,-0.523114,-0.183859,-1.05632,-37.5625,19.125,-6.375,0.23877,-0.5,0.915527
1482545588109713,-0.526737,-0.179269,-1.06277,-21.25,20.5625,-7.8125,0.210449,-0.455566,0.992676
1482545588125724,-0.529345,-0.175155,-1.06821,-21.0625,15.875,-5.875,0.181152,-0.432129,1.05273
1482545588148741,-0.536185,-0.172081,-1.07195,-31.3125,9.4375,-5,0.145996,-0.44043,1.01465
1482545588169772,-0.545443,-0.170234,-1.07492,-34.0625,4.5,-6.125,0.128418,-0.521484,1.01807
1482545588185783,-0.551119,-0.169388,-1.07741,-19.4375,1.0625,-6.9375,0.128418,-0.588379,1.01904
1482545588208334,-0.549398,-0.168199,-1.07919,3.1875,-0.125,-6,0.102539,-0.594238,0.98584
1482545588229352,-0.543965,-0.16631,-1.08008,12.875,-0.5625,-2.5,0.0766602,-0.534668,0.948242
1482545588245363,-0.539002,-0.162268,-1.07878,13.0625,0.75,5.0625,0.050293,-0.515137,0.90918
1482545588268378,-0.534845,-0.157097,-1.07557,12.3125,0.8125,11.1875,0.0493164,-0.519531,0.912109
1482545588289393,-0.530773,-0.151514,-1.07038,13.125,0.1875,17.25,0.0556641,-0.510742,0.894043
1482545588305618,-0.526139,-0.145598,-1.06358,15.6875,0.375,22.625,0.0727539,-0.506348,0.879395
1482545588328634,-0.520116,-0.138821,-1.05554,21.375,1.875,26.9375,0.0839844,-0.52002,0.880859
1482545588349648,-0.511668,-0.131543,-1.04658,29.9375,3.4375,31.25,0.097168,-0.524414,0.869629
1482545588365660,-0.502385,-0.123931,-1.03764,30.3125,3.875,30.75,0.078125,-0.497559,0.88916
1482545588389213,-0.494697,-0.115829,-1.02839,23.5625,4.9375,33.125,0.0727539,-0.450684,0.885254
1482545588416776,-0.491948,-0.107737,-1.01742,11.5625,3.375,37,0.0668945,-0.465332,0.861328
1482545588425783,-0.491394,-0.0997836,-1.00638,6.875,3.5625,37.25,0.0683594,-0.484375,0.844238
1482545588447803,-0.492288,-0.0926733,-0.994749,6.125,1.0625,37.625,0.0678711,-0.526367,0.821777
1482545588468814,-0.490731,-0.0865015,-0.98264,14.6875,0.5,38.8125,0.101563,-0.562012,0.837402
1482545588485825,-0.484504,-0.07955,-0.970325,26.375,4.1875,41.3125,0.122559,-0.536621,0.837402
1482545588508362,-0.476664,-0.0704835,-0.958113,29.8125,9.3125,43.9375,0.106934,-0.508789,0.841797
1482545588529384,-0.471578,-0.0594146,-0.946629,19.625,15.875,44.5625,0.0957031,-0.481445,0.843262
1482545588545390,-0.470756,-0.0461332,-0.935888,6.9375,21.25,45.5625,0.0668945,-0.476074,0.845215
1482545588568407,-0.472678,-0.0325738,-0.924289,-0.625,21.0625,47.625,0.0537109,-0.494141,0.852051
1482545588589408,-0.475426,-0.019028,-0.912608,-2.625,20.5,48.0625,0.0375977,-0.52002,0.876465
1482545588605426,-0.477517,-0.00568689,-0.900815,-1.625,19.25,47.9375,0.0200195,-0.512207,0.865234
1482545588628444,-0.479076,0.007802,-0.888675,0.5625,18.125,48.3125,-0.0102539,-0.527832,0.865234
1482545588649459,-0.479733,0.0208606,-0.875321,1.75,13.4375,50.1875,-0.0541992,-0.52002,0.866211
1482545588665472,-0.480379,0.0315957,-0.860529,1.875,5.0625,50.5625,-0.0776367,-0.526367,0.863281
1482545588688487,-0.481603,0.0397821,-0.844162,-0.75,-4.4375,50.6875,-0.0942383,-0.515625,0.844238
1482545588709087,-0.482893,0.0476124,-0.826151,0.1875,-8.125,54.0625,-0.114258,-0.538574,0.844238
1482545588725097,-0.480216,0.0548256,-0.806737,8.3125,-11.25,57.3125,-0.111816,-0.507324,0.86084
1482545588748141,-0.475454,0.0604431,-0.786335,12.625,-12.6875,59.25,-0.0615234,-0.470703,0.842773
1482545588771130,-0.472305,0.0645908,-0.765463,8.6875,-14.125,59.9375,-0.0214844,-0.473633,0.821777
1482545588785143,-0.469578,0.0669662,-0.746055,5.25,-16.1875,54.375,-0.0107422,-0.444336,0.837402
1482545588808412,-0.466188,0.0673945,-0.72949,5.4375,-14.9375,45.1875,0.0166016,-0.401855,0.830566
1482545588838433,-0.465372,0.0656458,-0.714106,-0.625,-17.6875,40.375,0.0444336,-0.415039,0.817871
1482545588845424,-0.465947,0.0610263,-0.699826,-3.8125,-21.8125,34.5625,0.078125,-0.411133,0.808105
1482545588868471,-0.46492,0.053341,-0.687561,2.25,-26.25,26.125,0.100586,-0.429688,0.815918
1482545588891045,-0.462285,0.0428258,-0.67859,8.5,-26.4375,15.6875,0.148438,-0.453125,0.828125
1482545588905158,-0.459744,0.0306252,-0.674062,12.0625,-20.75,4.125,0.227539,-0.499512,0.84375
1482545588928657,-0.448355,0.0184939,-0.671736,31.875,-10.5625,2.375,0.358398,-0.418457,0.879395
1482545588950672,-0.43027,0.0103936,-0.669715,43,-5.375,3.8125,0.274902,-0.302246,0.961914
1482545588971698,-0.421404,0.00445035,-0.669162,15.625,-1.375,1.0625,0.225586,-0.293945,0.985352
1482545588988711,-0.423804,0.00312909,-0.668417,-7.1875,11.375,7.25,0.239258,-0.448242,1.01172
1482545589010728,-0.422237,0.00898645,-0.669566,9.3125,24.75,7.9375,0.116699,-0.529785,1.01611
1482545589031752,-0.412921,0.0146157,-0.670669,26.8125,16.375,3.6875,-0.0107422,-0.445313,1.00635
1482545589048755,-0.40422,0.0180269,-0.670684,20.375,8.5625,3.3125,-0.0253906,-0.351563,0.98584
1482545589070770,-0.404303,0.0198523,-0.668699,-0.1875,0.3125,6.5,-0.0561523,-0.412109,0.953125
1482545589092318,-0.401926,0.018941,-0.667547,8.5,-5.0625,1.375,-0.0439453,-0.435059,0.964844
1482545589108355,-0.393426,0.0140759,-0.668243,23.3125,-13.125,-7.8125,-0.0283203,-0.365723,0.920898
1482545589130379,-0.386703,0.00760306,-0.670145,17.0625,-16.375,-12.75,-0.03125,-0.347168,0.935547
1482545589151388,-0.382348,0.00399856,-0.67283,13.125,-6.4375,-10.75,0.00488281,-0.391113,0.94043
1482545589168400,-0.378668,0.00442357,-0.676594,14.75,5.6875,-9.25,0.000976563,-0.438477,0.942871
1482545589190931,-0.378796,0.00724345,-0.680981,0.4375,7.5,-10.5,-0.0742188,-0.381836,0.937012
1482545589211961,-0.378789,0.00899524,-0.686972,0.25,10.1875,-14.625,-0.0244141,-0.348145,0.871094
1482545589228455,-0.380961,0.0122807,-0.691346,-6.625,8.8125,-9.9375,-0.0786133,-0.361328,0.912109
1482545589251007,-0.383055,0.009522,-0.695589,-5.625,-8.875,-16.6875,-0.103516,-0.369141,0.910645
1482545589272020,-0.386732,0.00294204,-0.700791,-10.4375,-15.1875,-22.375,-0.0532227,-0.332031,0.818359
1482545589288532,-0.395217,-0.00548967,-0.706901,-19.0625,-12.4375,-24.1875,0.0527344,-0.450195,0.882813
1482545589311040,-0.400571,-0.00713845,-0.712387,-12,-2.5,-18,-0.0571289,-0.433594,0.894043
1482545589332063,-0.405717,-0.00803567,-0.716432,-12.25,-3.5,-14.1875,-0.0786133,-0.424805,0.893555
1482545589348575,-0.406117,-0.0106504,-0.724454,-1,5,-22.9375,0.0512695,-0.384277,0.877441
1482545589371091,-0.409197,-0.00641972,-0.735043,-4.0625,23.5,-22.75,0.0166016,-0.495117,0.96875
1482545589392109,-0.414647,0.000727564,-0.741915,-13.6875,18.5,-13.4375,-0.130859,-0.424805,0.888672
1482545589408661,-0.416212,0.00369576,-0.748422,-4.25,6.0625,-18,-0.148926,-0.393066,0.884766
1482545589431219,-0.417609,0.00235936,-0.752144,-1.8125,-6.8125,-14.375,-0.115723,-0.4375,0.906738
1482545589452262,-0.413044,0.00457428,-0.752769,21.8125,5.1875,0.1875,-0.0258789,-0.609375,1.08057
1482545589468764,-0.394447,0.0117611,-0.749461,49.1875,13.75,16.3125,-0.0371094,-0.363281,1.02637
1482545589490780,-0.383282,0.0234602,-0.7447,21.4375,14.6875,20.3125,-0.195801,-0.218262,0.931641
1482545589511829,-0.384382,0.0293606,-0.743038,-6.3125,8.3125,8.5,-0.109863,-0.311035,0.880859
1482545589528376,-0.382086,0.030019,-0.742825,4.75,9.0625,3.9375,0.0800781,-0.353516,0.948242
1482545589550980,-0.37606,0.0305715,-0.741589,21.75,7.3125,6.9375,0.0820313,-0.460449,0.981934
1482545589572069,-0.360507,0.0340978,-0.738227,44.25,7.75,13.25,-0.0102539,-0.365234,0.978027
1482545589588570,-0.350849,0.0356194,-0.734775,21.625,0.5625,10.6875,-0.0371094,-0.257324,0.925781
1482545589611131,-0.351285,0.0344408,-0.732858,-5.125,1.9375,6.4375,0.0737305,-0.261719,0.861816
1482545589632175,-0.354484,0.029497,-0.732081,-6.125,-3.6875,1.1875,0.129395,-0.382324,0.911621
1482545589647674,-0.349438,0.0217426,-0.731188,22.375,-10.3125,-0.9375,0.149902,-0.44873,0.905273
1482545589671200,-0.338039,0.0170616,-0.730425,33.3125,-3.875,0.8125,0.131348,-0.318359,0.872559
1482545589692214,-0.333508,0.0182917,-0.730948,10.5625,5.9375,0.25,0.0126953,-0.277832,0.90332
1482545589707763,-0.337236,0.0204838,-0.734005,-7.1875,9.125,-5.8125,-0.0146484,-0.372559,0.923828
1482545589731275,-0.340974,0.0231086,-0.738338,-7.5625,11.875,-8.75,-0.0136719,-0.385742,0.95459
1482545589753299,-0.340838,0.0261924,-0.743249,1.625,14.75,-9.75,-0.00195313,-0.356934,0.970703
1482545589767834,-0.339766,0.0300885,-0.748776,3.4375,16.4375,-10.9375,-0.0200195,-0.344238,0.968262
1482545589790929,-0.341879,0.0326626,-0.755518,-9.4375,11.0625,-16.9375,-0.0693359,-0.27002,0.927734
1482545589813430,-0.350478,0.0317325,-0.76222,-24.9375,1.5,-19.875,-0.0664063,-0.325684,0.930664
1482545589827939,-0.354586,0.0290765,-0.768096,-6.5625,0.8125,-17.5625,0.00195313,-0.419922,0.95459
1482545589851095,-0.349766,0.0304952,-0.77357,14.375,8.3125,-13.6875,-0.0439453,-0.352539,0.959473
1482545589873114,-0.345568,0.0340503,-0.780782,9.5,11.8125,-17.875,-0.10791,-0.297852,0.952637
1482545589888126,-0.347529,0.0361538,-0.788325,-5.8125,12,-18.625,-0.0527344,-0.329102,0.943359
1482545589911218,-0.352737,0.0372477,-0.796124,-13.0625,7.3125,-20.9375,-0.0854492,-0.353027,0.917969
1482545589933292,-0.361686,0.0355071,-0.804713,-25.5625,0.375,-26.1875,-0.0869141,-0.32959,0.902832
1482545589947808,-0.367452,0.0335566,-0.81176,-16.5,0.375,-21.5,-0.059082,-0.359375,0.961914
1482545589970820,-0.373977,0.031844,-0.819881,-19.9375,1.3125,-24.6875,-0.0712891,-0.352539,0.967285
1482545589994874,-0.385656,0.0312141,-0.828264,-36.75,1,-25.5625,-0.126953,-0.315918,0.933105
1482545590007889,-0.403428,0.0300357,-0.836925,-55.4375,1.875,-26.1875,-0.10498,-0.338867,0.983398
1482545590030955,-0.421798,0.0310754,-0.84351,-54,9.0625,-16.625,-0.0473633,-0.416992,0.996582
1482545590052955,-0.432732,0.0328683,-0.848305,-33.75,7,-12,-0.0869141,-0.401855,0.964844
1482545590067987,-0.435999,0.0328671,-0.852912,-12.625,1.6875,-14.1875,-0.0986328,-0.383301,0.944336
1482545590091003,-0.435653,0.0298103,-0.859594,-4.5,-3.25,-22.5,-0.0820313,-0.327637,0.906738
1482545590113522,-0.438602,0.0254446,-0.863333,-8.25,-12.5625,-17.875,-0.113281,-0.41748,0.893555
1482545590134537,-0.437401,0.0212693,-0.867341,5.875,-7,-15.9375,-0.0415039,-0.478027,0.949219
1482545590150548,-0.432178,0.018205,-0.87033,15.875,-2.375,-10.3125,0.0136719,-0.479004,1.00586
1482545590173565,-0.429745,0.0186189,-0.8678,3.25,-3.8125,5.8125,-0.0478516,-0.376953,0.946777
1482545590194579,-0.427606,0.0172581,-0.862743,-1.375,-11.875,10.5625,-0.0576172,-0.32373,0.962891
1482545590211095,-0.428892,0.0121611,-0.859431,-8.625,-16.75,2.9375,-0.000488281,-0.37207,0.967285
1482545590233612,-0.431947,0.00608354,-0.858823,-11.5,-15.8125,-5.4375,0.00488281,-0.382324,0.929688
1482545590254627,-0.432659,0.00109291,-0.859985,-3.125,-13.0625,-9.875,-0.0249023,-0.432617,0.967773
1482545590270638,-0.428827,-0.00356445,-0.862299,10.875,-11.875,-12.5625,-0.0356445,-0.442871,0.968262
1482545590293655,-0.421929,-0.00867893,-0.865081,17.375,-11.125,-13.8125,-0.00927734,-0.393555,0.959961
1482545590314672,-0.414802,-0.013593,-0.870668,12.3125,-5,-19.8125,0.034668,-0.305664,0.971191
1482545590331184,-0.413023,-0.0165924,-0.877059,-0.5,-1.1875,-20.5625,0.0107422,-0.341797,0.961426
1482545590353700,-0.419702,-0.0181405,-0.884228,-16,1.125,-22.125,-0.0327148,-0.475098,0.9375
1482545590374715,-0.419511,-0.0194898,-0.893498,3.9375,1.1875,-28.5625,-0.0742188,-0.474121,0.927734
1482545590391226,-0.408865,-0.0209549,-0.907621,31.75,6.25,-41.4375,-0.0732422,-0.445801,0.952637
1482545590413746,-0.393718,-0.0225374,-0.925824,40.8125,11.875,-51.5625,-0.0395508,-0.398438,1.01611
1482545590434758,-0.382579,-0.0234155,-0.948558,29.75,17.3125,-63,-0.0478516,-0.40332,1.02197
1482545590451272,-0.374957,-0.0208271,-0.974028,22.0625,28.1875,-67.5625,-0.0649414,-0.418945,0.992188
1482545590473284,-0.367875,-0.0147126,-0.997921,21.875,35.875,-59.625,-0.0649414,-0.428711,0.999023
1482545590494300,-0.359931,-0.00779209,-1.02014,24.4375,35,-54.375,-0.0854492,-0.402344,0.969238
1482545590510811,-0.354964,-0.00389087,-1.03986,10.3125,23.5,-51.9375,-0.103027,-0.303223,0.959961
1482545590540832,-0.356269,-0.000139445,-1.06191,-6.25,25.125,-57.8125,-0.0996094,-0.289063,0.878418
1482545590557344,-0.366357,0.00273295,-1.08446,-25.625,25.375,-59.4375,-0.0810547,-0.413574,0.945313
1482545590570353,-0.3758,0.00440447,-1.10318,-14,20.75,-49.4375,-0.0507813,-0.5625,0.932129
1482545590593381,-0.372347,0.00497299,-1.11778,22.75,16.875,-38.375,-0.00195313,-0.577637,0.982422
1482545590614423,-0.357177,0.00380705,-1.12968,43.75,9.375,-33.1875,0.000976563,-0.335938,0.879395
1482545590630439,-0.345487,-0.000145242,-1.13943,27.875,2.5625,-28.5,0.0522461,-0.214355,0.833984
1482545590653441,-0.347784,-0.00329266,-1.14384,-1.5625,-3.5,-14.6875,0.0175781,-0.398926,0.890137
1482545590675971,-0.344947,-0.00860818,-1.14512,18.9375,-14,-9.1875,-0.00830078,-0.487793,0.913574
